"","cand_A","cand_B"
"58610",5,3
"58611",5,5
"58612",9,2
"58613",8,2
"58614",5,5
"58615",3,8
"58616",7,0
"58617",3,6
"58618",4,8
"58619",7,0
"58620",7,6
"58621",0,10
"58622",5,5
"58623",1,9
"58624",4,5
"58625",1,2
"58626",5,7
"58627",9,2
"58628",5,7
"58629",8,7
"58630",10,1
"58631",6,3
"58632",8,2
"58633",7,1
"58634",5,4
"58635",2,8
"58636",7,7
"58637",9,0
"58638",3,7
"58639",1,9
"58640",6,1
"58641",3,6
"58642",0,10
"58643",0,10
"58644",9,4
"58645",2,9
"58646",5,5
"58647",8,2
"58648",10,2
"58649",8,5
"58650",9,1
"58651",0,7
"58652",8,6
"58653",6,3
"58654",1,10
"58655",7,5
"58656",5,6
"58657",10,0
"58658",3,9
"58659",5,6
"58660",8,5
"58661",7,1
"58662",3,1
"58663",1,9
"58664",6,8
"58665",6,8
"58666",0,10
"58667",2,8
"58668",8,5
"58669",7,4
"58670",2,9
"58671",6,5
"58672",2,3
"58673",8,1
"58674",3,4
"58675",0,6
"58676",5,5
"58677",2,9
"58678",1,5
"58679",7,4
"58680",6,8
"58681",3,5
"58682",0,8
"58683",3,8
"58684",7,8
"58685",8,3
"58686",3,10
"58687",10,2
"58688",2,8
"58689",9,2
"58690",5,5
"58691",7,5
"58692",7,7
"58693",7,4
"58694",4,7
"58695",8,5
"58696",6,7
"58697",8,2
"58698",5,9
"58699",5,5
"58700",8,7
"58701",9,4
"58702",1,6
"58703",4,6
"58704",1,2
"58705",9,5
"58706",10,0
"58707",5,6
"58708",10,1
"58709",2,8
"58710",9,8
"58711",2,8
"58712",0,10
"58713",7,3
"58714",4,6
"58715",4,1
"58716",10,0
"58717",10,0
"58718",4,3
"58719",10,2
"58720",8,0
"58721",6,6
"58722",0,10
"58723",1,8
"58724",4,4
"58725",4,5
"58726",8,4
"58727",8,1
"58728",7,0
"58729",9,3
"58730",2,8
"58731",8,0
"58732",2,0
"58733",3,5
"58734",3,6
"58735",10,0
"58736",5,5
"58737",0,10
"58738",3,9
"58739",2,6
"58740",0,10
"58741",8,1
"58742",2,8
"58743",9,2
"58744",5,5
"58745",5,5
"58746",3,10
"58747",9,1
"58748",5,5
"58749",10,0
"58750",9,1
"58751",1,8
"58752",8,0
"58753",0,5
"58754",8,0
"58755",3,7
"58756",5,7
"58757",2,6
"58758",2,8
"58759",2,7
"58760",8,1
"58761",0,7
"58762",2,9
"58763",10,1
"58764",7,2
"58765",9,6
"58766",3,7
"58767",10,2
"58768",2,7
"58769",0,8
"58770",5,5
"58771",3,4
"58772",9,2
"58773",9,3
"58774",4,8
"58775",1,9
"58776",7,3
"58777",2,7
"58778",8,4
"58779",5,5
"58780",5,5
"58781",5,5
"58782",7,8
"58783",6,4
"58784",5,5
"58785",0,0
"58786",10,0
"58787",2,8
"58788",10,0
"58789",4,5
"58790",4,8
"58791",4,5
"58792",1,10
"58793",5,5
"58794",5,2
"58795",10,0
"58796",7,4
"58797",9,6
"58798",7,0
