"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"36164",5,7,6,4,7,6,3
"36165",3,10,7,4,8,7,2
"36166",10,0,0,0,9,9,9
"36167",10,3,4,5,3,7,2
"36168",5,7,8,4,4,7,1
"36169",10,3,3,4,6,4,4
"36170",10,3,3,0,5,6,2
"36179",3,2,2,2,3,2,2
"36183",0,0,0,0,0,0,0
"36184",0,0,0,0,0,0,0
"36187",2,2,2,10,5,2,2
"36190",5,2,2,4,4,3,2
"36201",8,1,1,1,1,1,1
"36202",0,0,0,0,0,0,0
"36203",2,2,2,2,2,2,0
"36204",0,4,0,0,0,0,0
"36205",0,0,0,0,0,0,0
"36206",0,0,0,5,0,0,0
"36207",0,6,0,0,0,0,0
"36208",3,10,7,6,4,1,2
"36209",10,3,5,4,8,5,2
"36210",10,4,4,2,0,0,1
"36211",10,4,6,6,7,7,1
"36212",10,4,4,5,4,1,0
"36213",4,6,6,8,6,5,1
"36214",10,5,4,6,6,6,2
"36215",5,8,5,6,8,6,1
"36217",0,0,0,1,0,0,0
"36218",0,8,5,5,0,0,0
"36219",1,1,1,9,4,4,4
"36220",0,10,7,6,3,1,1
"36221",6,0,0,0,5,8,10
"36224",5,0,1,3,6,7,6
"36225",10,0,0,4,6,5,5
"36226",0,5,8,6,4,2,2
"36231",7,0,0,2,5,6,5
"36232",0,0,1,10,2,2,2
"36233",0,8,4,5,0,0,0
"36235",0,10,9,5,1,1,1
"36237",0,0,4,9,3,2,2
"36238",0,0,6,7,3,2,2
"36240",0,3,3,7,1,1,1
"36241",0,3,7,6,2,0,1
"36242",0,0,5,5,3,3,3
"36243",0,0,0,9,0,0,0
"36244",8,2,1,1,1,1,1
"36245",3,3,5,6,5,5,3
"36246",0,0,3,10,1,0,0
"36248",0,5,9,5,2,1,1
"36249",0,5,5,4,0,0,0
"36250",6,0,0,4,8,3,3
"36251",6,2,2,8,10,5,3
"36252",5,3,0,4,3,4,5
"36253",0,2,0,10,6,0,10
"36254",5,1,3,3,2,5,9
"36255",5,0,1,3,2,2,2
"36256",10,4,5,10,8,7,6
"36258",4,4,4,4,4,4,4
"36259",7,1,2,3,3,4,4
"36260",0,0,0,0,0,0,0
"36261",0,0,0,0,10,0,10
"36262",8,1,1,5,3,4,5
"36264",2,0,0,3,0,2,0
"36265",5,0,1,5,3,0,9
"36266",0,10,10,9,8,4,5
"36267",5,4,3,2,4,3,0
"36268",0,5,5,9,6,0,2
"36269",6,1,3,5,4,2,2
"36270",0,8,7,8,1,0,0
"36271",3,0,5,8,0,6,0
"36272",6,1,1,5,8,2,4
"36273",0,0,0,0,0,0,0
"36274",0,0,3,0,0,0,0
"36275",0,0,0,0,0,0,0
"36276",0,0,0,0,0,0,0
"36277",7,0,0,0,0,0,0
"36278",0,3,0,0,0,0,0
"36279",0,0,0,0,0,0,0
"36280",0,0,0,0,0,0,0
"36281",10,0,0,0,0,0,0
"36288",10,0,1,2,3,9,1
"36300",10,0,0,0,0,0,0
"36301",8,0,0,5,7,5,9
"36302",10,3,3,4,7,3,9
"36303",10,7,6,3,4,6,4
"36304",10,8,2,0,4,4,7
"36305",9,7,3,2,5,5,7
"36306",10,2,2,5,3,2,5
"36307",9,2,2,4,4,4,7
"36308",8,4,5,2,1,3,7
"36309",10,2,2,6,5,8,8
"36310",5,0,0,0,3,2,3
