"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"10646",0,0,4,9,9,6,3,5,6
"10647",0,0,0,0,0,0,0,0,0
"10653",0,0,0,2,2,3,10,0,7
"10656",1,1,1,0,1,0,0,1,1
"10657",6,7,2,0,0,0,0,8,2
"10659",3,6,5,3,4,0,4,0,3
"10662",6,7,6,6,5,5,3,5,4
"10664",1,1,3,8,3,5,6,1,2
"10665",4,4,5,5,5,3,5,2,4
"10667",1,1,1,3,3,4,10,1,5
"10668",10,9,3,1,1,1,1,1,1
"10669",1,1,1,1,1,1,1,1,1
"10672",1,1,2,1,1,1,1,1,1
"10679",1,1,1,3,1,1,1,1,1
"10680",7,9,5,1,1,1,1,7,1
"10681",1,1,6,5,8,5,6,3,5
"10682",5,5,5,5,5,5,5,5,5
"10687",0,0,0,0,0,6,0,0,0
"10691",0,0,1,0,0,0,0,0,0
"10692",0,0,0,0,0,0,0,0,0
"10693",0,0,4,6,6,6,7,0,4
"10694",0,0,0,0,0,0,0,0,0
"10695",0,0,5,5,0,5,0,0,0
"10696",0,0,0,0,0,6,0,0,0
"10702",5,4,2,7,5,7,4,3,3
"10705",1,1,10,5,1,1,5,1,1
"10706",0,0,0,0,0,0,0,0,0
"10707",4,1,1,4,1,4,1,8,1
"10708",0,0,0,0,0,0,0,0,0
"10710",3,3,4,2,3,3,4,5,0
"10711",7,3,3,3,3,2,0,2,1
"10712",5,5,5,5,5,5,3,5,5
"10715",0,0,6,3,3,3,2,0,3
"10716",6,5,3,3,3,4,2,4,3
"10717",5,0,10,2,5,1,0,0,4
"10718",7,5,3,2,3,3,1,5,3
"10719",3,3,2,2,2,1,0,3,1
"10720",5,5,0,0,0,0,0,5,0
"10721",0,0,0,6,0,5,5,0,5
"10722",5,5,0,0,0,0,0,5,0
"10723",7,5,4,4,4,5,2,6,3
"10724",8,5,4,3,3,3,1,6,3
"10725",10,0,0,0,0,0,0,0,0
"10726",0,0,0,0,0,0,0,0,0
"10727",0,0,0,0,0,0,0,0,0
"10728",2,0,4,4,4,6,4,3,4
"10729",4,9,1,1,1,1,1,2,1
"10731",2,2,8,2,3,4,2,3,5
"10733",0,0,0,0,0,0,0,0,0
"10736",3,4,5,5,5,4,3,2,3
"10739",6,5,2,4,3,5,4,2,4
"10741",1,1,1,1,1,1,0,0,0
"10743",5,5,1,1,1,1,1,1,1
"10744",2,0,0,0,0,0,0,0,1
"10745",4,4,1,1,1,1,1,1,1
"10747",0,0,0,0,0,0,0,0,0
"10748",6,4,1,5,6,0,6,0,2
"10749",1,1,1,1,1,1,1,1,1
"10750",0,0,0,0,0,0,0,0,0
"10759",3,5,2,3,3,1,0,0,0
"10761",1,1,4,2,4,2,0,1,0
"10763",0,0,3,3,3,0,0,0,0
"10767",0,0,2,3,3,2,0,0,0
"10769",8,1,1,1,1,1,1,1,1
"10770",1,3,2,3,1,7,1,0,2
"10771",0,0,0,6,0,0,0,0,0
"10772",2,1,3,2,2,2,2,2,4
"10773",2,2,2,2,2,2,2,2,2
"10774",5,5,5,5,5,5,5,5,5
"10775",5,5,5,5,5,5,5,5,5
"10776",1,2,3,2,4,4,5,3,7
"10777",2,2,1,1,1,1,0,2,0
"10778",0,0,0,0,0,0,0,0,0
"10779",4,4,4,4,4,4,4,4,4
"10780",7,1,2,2,0,2,3,1,2
"10781",5,2,3,2,1,2,1,1,2
"10782",5,1,2,2,1,1,0,0,1
