"","cand_A","cand_B","cand_C","cand_D","cand_E"
"23544",0,4,7,1,8
"23545",10,6,5,2,3
"23546",0,8,2,3,2
"23547",0,0,0,0,0
"23548",0,4,4,5,7
"23549",4,5,5,6,5
"23550",6,0,1,0,1
"23551",10,2,0,3,0
"23552",0,0,4,0,4
"23553",10,0,0,0,0
"23554",2,10,1,1,1
"23555",7,5,5,5,5
"23556",2,4,0,8,0
"23557",3,3,4,6,4
"23558",3,3,8,3,0
"23559",0,10,0,8,0
"23560",7,3,1,4,1
"23562",2,0,5,4,6
"23563",10,4,0,0,0
"23564",7,2,2,0,2
"23565",2,7,2,2,2
"23566",3,5,7,5,5
"23567",10,10,0,10,0
"23568",9,1,2,4,2
"23569",1,7,0,2,0
"23570",6,1,5,5,5
"23571",7,3,2,3,2
"23572",8,10,5,5,5
"23573",5,4,1,4,1
"23575",2,4,4,8,3
"23576",7,5,3,1,1
"23577",2,10,7,5,2
"23578",2,10,7,5,2
"23579",0,3,10,5,2
"23580",7,1,0,0,1
"23581",6,4,0,2,0
"23582",10,4,0,5,4
"23583",8,1,1,1,1
"23584",10,0,1,3,1
"23585",0,0,4,0,4
"23586",0,3,10,5,2
"23588",0,3,10,3,1
"23589",8,2,5,5,3
"23590",5,0,0,0,0
"23591",8,2,2,2,2
"23592",0,5,10,4,10
"23593",8,2,3,3,2
"23594",0,4,0,0,0
"23595",0,10,0,0,0
"23596",7,2,0,2,0
"23597",8,0,0,0,0
"23598",1,1,6,10,8
"23599",5,7,2,2,2
"23600",9,2,0,0,0
"23601",0,2,9,2,1
"23602",8,0,0,0,0
"23603",5,5,5,5,5
"23604",10,7,2,3,5
"23605",0,0,6,4,8
"23606",1,9,3,5,2
"23607",10,5,3,3,3
"23608",2,4,0,0,0
"23609",4,3,5,5,5
"23610",6,5,4,5,4
"23611",7,1,2,1,1
"23612",5,0,4,4,5
"23613",10,0,0,0,0
"23614",8,3,0,0,0
"23615",9,4,2,2,2
"23616",1,3,0,0,0
"23618",7,1,1,1,1
"23619",10,5,0,0,0
"23620",10,0,0,0,0
"23621",8,0,0,2,0
"23622",7,2,4,5,4
"23623",3,2,2,2,3
"23624",2,4,7,5,5
"23625",10,3,2,1,0
"23626",2,4,5,8,6
"23627",0,5,3,1,1
"23628",0,0,0,0,0
"23629",2,7,2,5,2
"23630",10,0,1,1,1
"23631",1,1,7,3,10
"23632",6,1,3,5,5
"23633",6,1,0,1,0
"23634",10,0,0,0,0
"23635",0,10,4,3,3
"23636",0,2,0,2,2
"23637",4,7,2,6,1
"23638",1,1,5,10,5
"23639",0,0,10,0,10
"23640",1,2,1,2,1
"23641",5,5,5,5,5
"23642",0,0,1,6,1
"23643",7,1,1,0,1
"23644",0,8,9,0,8
"23645",4,8,0,0,0
"23646",1,6,2,2,3
"23648",10,0,0,0,0
"23650",0,8,8,7,4
"23651",8,0,0,0,0
"23652",2,3,10,2,3
"23653",7,3,2,3,2
"23654",0,8,8,7,4
"23656",9,0,0,1,0
"23657",0,4,5,8,7
"23658",0,0,10,1,7
"23659",10,0,0,0,0
"23660",3,4,4,6,5
