"","cand_A","cand_B","cand_C","cand_D","cand_E"
"55871",5,5,5,8,5
"55872",8,1,4,8,4
"55873",1,9,0,0,0
"55874",5,5,5,5,5
"55875",6,4,5,5,5
"55876",2,2,5,5,3
"55877",5,5,5,5,5
"55878",5,6,5,3,3
"55880",4,5,0,7,2
"55881",7,7,7,0,5
"55882",3,4,3,1,1
"55883",4,4,5,1,1
"55884",1,10,2,1,6
"55885",4,0,5,7,4
"55886",5,5,5,5,5
"55888",5,4,4,4,5
"55889",7,5,8,4,6
"55890",2,8,3,4,7
"55891",5,6,0,2,7
"55892",6,3,3,3,3
"55893",5,1,5,3,3
"55894",5,7,4,3,6
"55895",5,1,7,8,5
"55896",7,3,5,6,5
"55897",7,4,5,8,4
"55898",7,1,3,7,3
"55899",5,0,5,5,5
"55900",4,6,5,4,3
"55901",5,7,5,5,5
"55902",8,0,4,8,0
"55903",5,5,5,5,5
"55904",0,7,5,0,5
"55905",9,5,5,3,4
"55906",5,0,6,4,4
"55908",7,3,6,5,5
"55909",5,5,5,5,5
"55910",6,0,6,5,3
"55911",8,3,4,8,4
"55912",7,0,2,6,1
"55913",10,0,5,10,3
"55914",8,6,7,8,6
"55915",6,3,4,4,8
"55916",3,1,6,6,2
"55917",5,5,5,5,5
"55918",5,6,5,6,3
"55919",6,5,5,5,6
"55920",5,5,5,5,5
"55921",0,10,5,0,0
"55922",5,3,3,2,1
"55923",3,7,3,3,7
"55924",1,3,2,0,1
"55925",5,5,5,5,5
"55926",4,5,6,5,3
"55927",8,0,2,7,5
"55928",8,0,7,5,5
"55930",5,6,5,5,6
"55931",8,3,3,8,2
"55932",8,0,4,5,4
"55933",5,5,5,5,5
"55934",5,7,6,6,6
"55935",5,6,8,7,4
"55936",5,5,6,8,0
"55937",7,0,2,3,1
"55938",6,4,6,7,1
"55939",0,1,1,0,1
"55940",1,5,1,1,0
"55941",5,5,7,5,4
"55943",6,3,6,7,5
"55944",3,5,8,6,3
"55946",10,2,5,5,5
"55947",8,3,5,5,6
"55948",8,0,0,3,0
"55949",4,4,5,5,5
"55950",4,5,6,4,3
"55951",10,0,5,5,5
"55953",5,3,1,7,2
"55954",8,8,5,5,3
"55955",5,5,4,4,5
"55956",2,3,3,3,1
"55957",2,6,2,2,2
"55958",10,5,5,5,5
"55960",10,1,1,6,3
"55961",6,5,5,5,4
"55962",1,1,5,7,3
"55963",3,6,8,6,3
"55964",8,3,4,5,5
"55965",5,5,3,6,5
"55966",4,5,6,6,6
"55967",3,7,4,4,4
"55968",1,9,3,1,5
"55969",3,3,5,5,3
"55970",5,9,5,2,2
"55971",1,2,5,3,4
"55972",10,2,9,8,1
"55973",6,2,7,7,2
"55974",7,1,3,4,1
"55975",5,4,5,3,4
"55976",8,3,5,4,2
"55977",5,5,5,5,5
"55978",8,7,8,6,5
"55979",0,7,10,0,10
"55980",5,6,4,2,3
"55981",3,8,9,8,5
"55982",5,6,5,4,3
"55983",2,8,0,1,4
"55985",4,6,2,3,3
"55987",7,4,6,6,7
"55988",2,3,3,2,1
"55989",7,3,9,8,7
"55990",4,5,4,3,5
"55991",5,5,5,5,5
"55992",6,6,8,7,7
"55993",10,0,3,3,2
"55994",3,7,4,3,5
"55996",4,1,2,4,3
"55997",8,7,6,5,3
"55998",6,5,5,5,5
"55999",7,4,6,5,4
"56000",0,5,5,0,10
"56001",8,2,6,6,6
"56002",3,7,4,3,4
"56003",3,7,4,2,2
"56004",1,7,5,0,6
"56005",6,2,5,2,3
"56006",10,3,8,9,6
"56007",4,5,6,7,2
"56008",6,5,7,6,5
"56009",5,5,5,6,5
"56010",8,0,3,7,3
"56011",3,5,8,3,3
"56012",9,4,4,4,4
"56013",7,7,7,7,7
"56017",4,3,4,4,5
"56018",5,6,5,6,6
"56019",10,0,5,9,5
"56020",8,2,3,3,2
"56021",6,5,5,5,5
"56022",8,3,5,5,5
"56023",5,5,6,6,5
"56024",2,6,7,5,4
"56025",7,3,5,5,3
"56026",10,0,3,6,1
"56027",5,3,7,7,3
"56028",8,3,5,6,5
"56029",5,0,5,5,0
"56030",5,5,5,5,5
"56031",1,4,4,5,5
"56032",5,5,5,5,5
"56033",3,1,9,3,5
"56034",5,3,2,2,7
"56035",5,0,6,8,4
"56036",5,3,6,5,1
"56037",5,0,4,3,3
"56038",10,2,4,3,3
"56039",5,0,3,1,0
