"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_I"
"22706",4,7,5,3,5,6
"22707",2,3,4,1,4,6
"22708",10,7,7,10,10,8
"22709",0,4,5,3,1,6
"22710",0,7,4,0,0,3
"22711",1,8,6,3,2,8
"22712",0,5,3,0,0,3
"22713",0,8,7,0,0,8
"22714",1,4,4,3,3,6
"22715",0,3,0,0,0,7
"22716",0,9,4,0,0,5
"22717",4,5,5,5,4,5
"22718",0,7,5,0,0,7
"22719",1,8,7,2,2,7
"22720",2,7,2,0,2,2
"22721",0,0,3,1,2,7
"22722",0,5,6,0,0,5
"22723",0,2,3,4,3,5
"22724",0,9,6,3,3,8
"22725",0,8,7,5,3,7
"22726",0,7,6,0,0,9
"22727",0,8,5,2,2,5
"22728",0,9,6,8,0,4
"22730",0,0,0,2,1,3
"22732",0,7,7,0,5,7
"22733",1,10,5,3,4,7
"22734",1,6,6,3,1,7
"22735",1,5,4,1,1,4
"22736",2,3,4,2,1,2
"22737",0,8,1,0,2,7
"22738",1,9,7,4,4,6
"22740",1,6,3,1,6,5
"22742",3,6,4,3,4,5
"22743",0,1,5,0,5,0
"22745",3,7,8,3,4,6
"22747",4,6,5,5,6,7
"22748",0,3,5,2,4,5
"22750",0,7,7,0,0,6
"22751",10,6,6,9,8,1
"22752",0,5,7,0,5,9
"22753",0,4,6,0,5,7
"22754",5,5,4,4,4,8
"22755",2,5,3,3,2,5
"22757",0,7,3,0,0,6
"22758",0,3,3,0,3,2
"22759",6,5,7,5,6,7
"22760",0,5,5,3,4,5
"22761",0,1,6,0,2,7
"22762",2,7,7,3,6,8
"22763",1,5,6,1,4,7
"22764",0,8,5,0,0,2
"22765",0,4,6,2,4,5
"22766",4,4,5,4,4,5
"22767",0,6,6,0,6,5
"22768",3,7,5,4,3,4
"22769",0,7,7,7,2,5
"22770",3,5,5,5,5,6
"22772",3,3,3,3,4,0
"22773",7,7,5,5,6,0
"22774",0,9,7,0,0,5
"22775",0,2,0,0,0,8
"22778",8,6,5,6,7,4
"22779",1,8,6,2,3,5
"22781",1,4,7,2,4,2
"22782",0,0,0,0,0,3
"22783",5,5,4,2,4,7
