"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"21179",7,5,0,0,10,0,3,0
"21180",2,1,0,1,1,1,0,1
"21182",3,6,0,2,0,3,3,3
"21183",3,8,0,5,2,6,2,4
"21184",7,0,0,1,5,0,2,2
"21185",1,1,0,1,0,1,0,8
"21186",6,4,1,1,2,1,4,4
"21187",1,1,8,0,2,2,2,2
"21188",0,9,2,2,0,2,1,1
"21189",2,7,0,6,3,5,2,3
"21190",2,2,1,2,2,2,2,2
"21191",0,5,0,5,0,5,0,9
"21192",0,7,0,6,2,10,0,5
"21193",2,0,0,0,3,1,0,2
"21194",2,6,0,3,3,2,0,3
"21196",4,1,5,1,4,4,4,8
"21197",2,2,0,8,2,3,1,6
"21198",4,4,4,1,4,1,3,4
"21199",3,6,3,4,3,5,3,4
"21200",5,0,5,0,0,0,7,6
"21202",3,3,0,6,8,4,2,8
"21203",0,10,0,0,5,5,5,5
"21204",0,0,0,0,0,0,0,5
"21205",0,0,0,0,0,0,0,0
"21206",0,0,0,0,0,0,0,0
"21207",5,3,0,1,1,2,3,1
"21209",1,4,0,3,2,2,1,2
"21210",10,10,10,10,10,10,10,10
"21211",4,3,1,3,6,1,1,5
"21212",5,0,0,4,5,0,4,0
"21213",1,6,0,1,1,2,1,2
"21214",2,2,0,2,1,1,2,2
"21215",1,8,0,7,3,5,0,7
"21216",7,1,0,0,2,0,1,5
"21218",0,7,0,0,0,6,0,0
"21219",8,0,0,0,4,0,7,6
"21220",1,2,0,0,2,1,0,1
"21221",7,0,0,0,3,0,0,0
"21222",0,6,0,2,4,6,0,4
"21223",3,3,0,3,3,1,1,1
"21225",5,6,0,1,1,5,0,2
"21226",10,1,0,1,1,0,10,1
"21227",5,2,0,0,5,3,3,10
"21228",1,1,4,1,1,1,1,1
"21229",0,0,0,0,8,0,0,0
"21230",1,0,0,0,0,0,0,0
"21231",1,9,0,4,0,7,0,2
"21232",3,5,0,8,0,2,0,0
"21233",0,10,0,8,0,8,0,8
"21234",5,0,2,0,0,0,0,1
"21236",3,5,0,3,1,4,4,2
"21238",0,10,0,0,5,5,0,6
"21239",3,0,0,1,8,0,8,0
"21240",0,7,0,5,2,10,0,2
"21241",1,0,0,0,5,0,1,0
"21242",3,3,0,4,1,6,2,6
"21243",0,5,0,1,2,7,0,7
"21244",1,2,0,1,3,3,0,0
"21245",0,6,4,5,0,5,1,2
"21246",5,0,1,0,0,0,1,0
"21247",9,1,0,1,2,1,4,0
"21248",8,0,0,9,4,4,1,1
"21249",0,0,0,0,7,0,0,0
"21250",0,5,0,5,4,4,4,4
"21251",0,6,0,0,0,4,0,4
"21252",1,10,2,3,6,7,0,5
"21253",2,4,0,0,6,0,1,6
"21254",3,4,3,5,3,3,5,5
"21255",0,5,0,0,4,8,0,0
"21256",6,5,0,0,2,0,0,0
"21257",6,3,0,0,0,0,0,0
"21259",0,6,0,4,0,6,0,6
"21260",8,0,0,3,1,0,0,1
"21261",0,7,0,0,0,5,0,2
"21262",2,1,0,0,1,0,1,3
"21263",0,0,0,0,0,0,0,1
"21265",1,7,1,3,1,3,1,3
"21266",8,6,0,6,2,2,4,3
"21267",0,0,0,0,0,0,0,0
"21268",2,8,2,4,2,5,2,4
"21269",0,0,0,0,1,0,0,0
"21270",9,0,0,0,6,3,3,1
"21271",0,9,1,7,2,5,1,6
"21272",5,5,0,8,5,6,0,4
"21273",5,10,0,8,7,7,0,5
"21274",6,1,0,2,5,1,3,2
"21275",2,1,0,0,10,2,0,0
"21277",0,0,0,0,0,0,0,1
"21278",1,8,1,0,1,8,1,6
"21280",7,0,0,0,0,0,0,0
"21281",1,4,0,10,2,3,0,1
"21283",5,0,0,1,7,1,1,1
"21284",5,2,0,2,5,0,1,5
"21285",0,4,0,3,1,6,0,2
"21286",6,1,0,1,3,1,1,1
"21287",10,0,0,0,1,0,5,1
"21288",0,6,0,0,0,0,0,0
"21289",0,8,0,7,2,7,0,7
"21290",0,2,0,0,7,1,0,1
"21291",0,7,0,7,0,5,0,2
"21292",5,3,0,1,8,1,7,5
"21293",0,5,2,0,0,0,1,3
"21294",5,3,0,2,4,0,0,8
"21295",1,2,0,3,1,2,0,1
"21296",8,2,0,3,4,2,4,1
"21297",0,1,0,0,2,5,1,3
"21298",2,6,2,2,2,5,4,6
"21299",0,0,0,0,0,0,0,0
"21300",0,0,0,0,2,2,1,1
"21301",2,0,2,0,0,1,0,4
"21302",6,2,0,0,6,2,5,1
"21303",0,2,0,2,2,2,1,1
"21304",0,3,1,2,0,2,2,1
"21305",7,4,0,8,5,4,4,5
"21307",0,1,0,5,0,1,0,0
"21308",1,6,2,2,1,6,1,7
"21309",4,4,0,2,3,3,3,3
"21310",0,5,0,3,6,6,0,7
"21311",5,2,0,2,3,1,1,0
"21312",1,0,0,0,2,0,0,0
"21313",0,0,0,0,0,0,0,0
"21314",1,7,0,5,4,5,0,5
"21315",1,1,1,1,1,1,1,1
"21316",2,3,0,5,2,6,0,3
"21317",0,10,0,0,0,0,9,0
"21318",1,5,0,5,6,9,1,5
"21319",1,5,0,1,0,1,0,2
"21320",2,6,0,2,2,3,1,4
"21321",3,4,0,1,4,5,0,3
"21322",1,5,0,1,2,5,1,2
"21323",6,4,0,4,2,3,4,3
"21324",0,3,0,0,0,0,0,1
"21325",5,3,0,3,3,3,3,3
"21326",4,4,0,4,4,9,1,1
"21327",0,6,0,5,0,6,0,3
"21328",1,1,0,1,1,1,0,1
"21329",0,6,0,2,1,2,1,5
"21330",3,5,2,2,2,4,4,2
"21331",3,6,6,0,2,5,6,9
"21332",2,1,0,1,3,1,0,2
"21333",2,2,0,5,2,5,0,3
"21334",2,0,0,0,2,0,2,2
"21335",2,5,1,3,6,5,0,3
"21336",2,0,0,0,4,1,0,0
"21337",0,0,0,0,0,0,0,0
"21339",5,1,0,5,2,1,1,1
"21340",1,6,0,2,1,6,0,5
"21341",5,5,2,0,0,3,1,8
"21342",0,0,3,0,0,0,0,0
"21344",4,5,0,9,4,8,3,3
"21345",5,6,0,6,5,5,2,7
"21346",1,0,0,0,1,0,0,1
"21347",8,8,7,8,8,8,8,8
"21348",1,1,0,0,9,0,0,0
"21349",0,7,0,3,1,3,0,0
"21350",1,3,0,1,0,0,0,2
"21351",2,6,0,5,4,6,1,2
"21352",3,4,0,3,3,3,3,4
"21353",1,5,0,1,1,3,0,5
"21354",5,6,3,3,6,2,2,3
"21355",4,1,0,1,1,1,1,1
"21356",6,7,0,10,1,7,0,0
"21358",7,0,0,0,9,0,3,0
"21359",3,3,0,10,0,3,0,5
"21360",7,5,0,2,4,3,6,5
"21361",0,10,0,6,1,7,1,4
"21362",4,0,0,0,0,0,3,0
"21363",5,6,0,4,3,7,1,8
