"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_G"
"18762",4,0,8,0,0,0
"18763",10,0,3,0,4,10
"18764",10,0,0,0,4,4
"18766",0,10,6,6,3,3
"18767",0,10,0,4,2,0
"18768",0,6,3,1,0,5
"18769",0,10,0,0,0,0
"18770",1,0,0,10,1,8
"18771",8,0,7,1,7,7
"18772",4,0,8,0,2,4
"18773",8,0,2,8,7,5
"18774",3,0,0,7,2,4
"18775",5,0,0,8,6,6
"18776",2,0,2,10,6,10
"18778",0,9,0,9,0,0
"18779",2,0,0,7,5,7
"18780",6,0,3,8,4,6
"18781",3,0,1,10,3,8
"18782",4,0,3,3,4,4
"18783",6,0,1,8,6,8
"18784",10,0,5,5,10,10
"18785",6,0,1,3,10,6
"18786",0,4,9,0,0,0
"18787",0,0,0,0,5,0
"18788",9,0,2,3,4,4
"18789",1,0,0,1,4,4
"18790",3,3,6,2,2,2
"18791",8,0,7,0,3,3
"18792",7,0,2,2,2,4
"18793",3,0,4,5,3,5
"18794",0,9,3,2,2,1
"18795",5,0,4,9,4,1
"18796",1,3,3,5,3,5
"18797",0,10,2,5,3,0
"18798",7,0,3,4,4,5
"18799",5,0,0,9,5,5
"18800",4,4,7,0,0,3
"18801",6,0,5,3,3,5
"18802",4,3,4,9,4,1
"18803",6,0,3,2,6,6
"18804",6,2,5,4,5,5
"18805",0,0,0,7,5,5
"18806",5,0,1,5,10,8
"18807",8,1,7,3,7,5
"18808",10,0,7,10,7,7
"18809",6,3,5,6,5,4
"18812",2,3,2,5,2,5
"18813",10,0,0,5,6,9
"18814",4,5,5,0,0,5
"18815",4,0,8,0,0,2
"18816",5,0,0,4,10,5
"18817",3,0,0,5,3,0
"18818",7,0,4,8,6,7
"18819",0,10,0,0,0,0
"18820",7,2,5,8,7,3
"18821",0,3,3,10,3,3
"18822",6,3,6,4,3,5
"18823",5,0,7,1,1,1
"18824",5,5,6,4,5,5
"18825",5,5,3,6,4,3
"18826",2,2,5,5,2,2
"18827",4,5,0,6,8,4
"18828",6,5,5,6,5,6
"18829",10,5,8,1,1,1
"18830",3,5,7,0,4,0
"18831",7,0,2,10,3,8
"18832",1,10,2,5,1,1
"18833",0,10,5,7,5,6
"18834",5,2,4,8,8,6
"18835",2,1,10,0,0,0
"18836",0,10,5,0,0,5
"18837",7,8,4,4,3,5
"18838",6,0,5,1,0,2
"18839",0,0,5,5,5,7
"18840",5,7,0,3,3,3
"18841",3,1,3,4,5,4
"18842",8,0,3,7,6,5
"18843",7,0,7,1,4,6
"18844",5,0,3,7,5,5
"18845",0,9,9,1,0,5
"18846",8,0,0,5,8,8
"18847",4,0,5,0,3,2
"18848",10,0,5,4,4,4
"18849",6,0,6,5,5,5
"18850",9,0,0,3,2,5
"18852",8,0,8,1,5,3
"18853",2,0,0,10,6,6
"18854",6,0,6,10,6,3
"18855",10,0,3,2,3,0
"18856",9,0,4,6,9,9
"18857",3,0,0,7,3,3
"18858",2,0,3,0,0,2
"18859",5,5,0,7,5,5
"18860",1,0,1,7,2,7
"18861",0,0,0,0,0,0
"18862",3,0,2,7,2,5
"18863",0,0,0,0,10,10
"18865",3,2,3,3,3,3
"18866",0,0,10,0,0,0
"18867",0,10,0,3,3,7
"18869",6,0,0,0,9,7
"18870",0,0,0,8,7,6
"18871",7,0,0,5,0,5
"18872",0,0,3,7,3,3
"18873",0,5,0,5,0,0
"18874",5,0,1,1,2,6
"18875",8,0,1,8,8,8
"18876",10,0,6,0,5,6
"18877",1,7,7,7,5,5
"18878",2,8,4,4,4,5
"18879",0,8,3,6,3,4
"18880",0,0,0,10,0,0
"18881",2,4,2,5,1,4
"18882",2,0,4,10,5,0
"18883",1,0,0,1,5,7
"18884",6,0,3,3,5,4
"18885",3,0,3,8,7,8
"18886",2,0,0,2,6,3
"18887",3,3,5,9,4,7
"18888",5,0,2,4,4,2
"18889",10,0,0,5,5,3
"18890",4,8,6,1,0,0
"18891",0,10,0,0,2,2
"18892",0,0,0,5,0,5
"18893",9,2,6,6,7,2
"18894",0,0,0,10,7,7
"18895",9,4,8,6,8,6
"18896",8,0,7,8,8,5
"18897",8,0,7,2,3,4
"18898",0,0,1,10,9,8
"18899",8,0,7,0,6,6
"18900",5,4,3,7,5,4
"18901",5,0,0,5,8,0
"18902",3,0,7,2,3,3
"18903",5,0,5,0,5,0
"18904",4,4,2,2,2,3
"18907",5,0,7,0,4,1
"18908",3,10,6,0,0,3
"18909",8,2,4,4,4,4
"18910",4,0,2,10,5,5
"18911",5,1,8,2,4,5
"18912",6,0,6,3,3,3
"18913",6,0,0,5,7,7
"18914",5,0,3,6,7,7
"18916",2,7,4,2,5,5
"18918",0,0,3,10,2,5
"18919",0,5,5,5,5,5
"18920",0,0,0,0,0,0
"18921",3,5,5,5,5,5
"18922",0,10,5,10,5,5
"18923",4,4,0,0,5,5
"18924",3,0,2,7,5,2
"18925",2,0,2,9,4,5
"18926",1,0,1,7,4,4
"18927",7,0,6,7,7,7
"18928",7,0,2,0,8,8
"18929",0,0,3,0,3,5
"18930",6,0,6,1,5,2
"18931",5,5,1,2,2,4
"18932",4,9,7,8,2,2
"18933",2,9,2,2,2,0
"18934",4,2,5,3,4,3
"18935",5,8,0,7,7,8
"18936",5,0,2,4,4,4
"18937",5,0,4,2,1,0
"18938",5,0,0,5,10,5
"18940",5,0,1,0,6,6
"18941",6,0,7,0,0,1
"18942",0,0,0,9,2,4
"18943",0,8,3,4,0,0
"18944",7,0,7,0,0,0
"18945",8,1,3,4,6,5
"18946",7,0,3,7,7,5
"18947",7,0,6,2,4,6
"18948",5,0,6,1,3,5
"18949",0,0,0,0,0,0
"18950",5,0,0,10,6,8
"18951",0,9,6,0,0,5
"18952",8,5,7,5,5,7
"18953",5,0,1,9,6,9
"18954",4,3,4,4,2,4
"18955",3,5,5,0,3,0
"18956",3,4,8,5,1,5
"18957",4,6,3,8,3,4
"18958",3,7,4,4,3,3
"18959",5,0,3,5,0,5
"18960",5,5,5,5,5,5
"18961",3,0,7,0,3,3
"18962",8,0,0,0,10,0
"18963",5,0,0,10,8,5
"18964",5,0,7,0,2,2
"18965",7,0,7,0,0,0
"18966",0,0,0,8,2,8
"18968",5,0,0,0,5,8
"18969",10,0,10,0,0,0
"18970",5,0,2,1,2,1
"18971",7,0,5,10,5,2
"18972",2,0,2,1,2,2
"18973",0,8,4,6,5,4
"18974",5,5,5,5,5,5
"18975",6,0,2,10,10,9
"18976",5,0,2,4,5,9
"18977",9,0,3,1,4,5
"18978",0,2,4,5,4,0
"18979",7,0,4,4,4,3
"18980",6,0,3,6,2,0
"18981",5,3,4,4,5,5
"18982",5,5,5,5,5,5
"18983",2,0,0,10,8,8
