"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"2570",6,0,0,6,1,2
"2571",3,9,4,2,5,4
"2572",8,4,2,6,5,5
"2573",7,4,4,5,3,3
"2574",4,9,3,6,7,5
"2575",6,8,2,5,4,5
"2576",5,7,2,6,6,7
"2577",3,7,2,3,3,4
"2578",6,9,0,5,6,3
"2579",3,5,1,4,7,5
"2580",4,5,0,2,9,8
"2581",7,5,2,7,6,6
"2582",5,8,0,5,8,5
"2583",4,6,0,3,1,5
"2584",0,10,0,2,3,4
"2585",5,7,1,8,5,1
"2586",3,8,3,4,7,5
"2587",3,5,2,5,7,8
"2588",3,8,1,5,2,7
"2589",3,8,1,4,7,4
"2590",4,9,0,5,3,6
"2591",2,6,1,4,4,8
"2592",2,9,0,4,2,6
"2593",5,9,2,3,4,6
"2594",0,4,0,1,7,2
"2595",3,4,10,6,2,5
"2596",3,6,2,2,7,8
"2597",4,10,1,7,6,6
"2598",4,6,2,6,7,8
"2599",0,5,0,1,10,6
"2600",0,7,0,0,5,5
"2601",5,5,1,5,9,6
"2602",10,3,2,6,8,6
"2603",3,10,2,0,0,0
"2604",8,4,3,2,2,2
"2606",4,7,3,5,6,4
"2607",9,3,6,8,5,5
"2608",6,4,2,6,3,4
"2609",8,2,6,7,4,1
"2610",5,4,6,2,1,1
"2613",5,5,5,4,6,2
"2614",3,9,2,6,3,5
"2615",9,2,5,7,1,3
"2616",3,7,5,7,6,2
"2617",8,2,5,4,6,5
"2618",6,6,4,6,4,6
"2619",4,8,2,6,4,6
"2620",9,5,3,5,3,5
"2621",2,1,0,4,2,1
"2622",8,4,3,7,2,3
"2623",7,4,4,5,3,3
"2624",5,6,7,3,3,2
"2626",3,6,3,3,3,2
"2627",4,4,6,4,2,1
"2628",4,4,4,4,8,5
"2629",3,5,0,1,7,10
"2630",3,7,1,5,4,5
"2631",3,6,2,2,5,2
"2632",4,7,2,6,8,5
"2633",7,3,2,5,3,3
"2634",6,4,6,3,5,2
"2635",7,5,7,4,2,2
"2636",3,4,7,2,1,1
"2637",8,3,6,7,2,4
"2638",8,4,3,5,4,4
"2639",5,6,1,3,2,3
"2640",5,5,5,5,5,5
"2641",7,4,3,6,1,1
"2642",4,7,2,5,5,3
"2643",3,4,6,2,2,2
"2644",6,4,7,5,8,3
"2645",2,2,6,2,1,1
"2646",5,2,5,2,2,1
"2647",4,5,5,2,2,1
"2648",7,2,5,3,1,2
"2649",9,4,3,8,3,4
"2650",6,4,3,8,7,4
"2651",5,2,5,5,5,0
"2652",5,8,5,1,1,1
"2653",5,3,4,2,1,2
"2654",2,9,0,3,3,5
"2655",9,5,4,5,2,6
"2656",5,8,2,1,6,7
"2658",8,3,6,3,5,0
"2659",4,7,2,4,4,4
"2660",6,3,5,4,2,2
"2661",5,5,5,5,5,5
"2662",5,6,1,5,4,4
"2663",4,7,4,2,5,2
"2664",8,4,7,7,6,2
"2665",8,3,6,3,2,2
"2666",7,4,5,1,3,2
"2667",6,4,5,2,1,3
"2668",2,8,0,4,1,5
"2669",7,3,8,7,6,2
"2670",8,5,3,7,1,5
"2671",7,4,7,4,6,2
"2672",10,5,3,5,0,3
"2673",7,3,5,3,3,2
"2675",3,6,2,5,7,4
"2676",4,9,2,2,6,4
"2677",6,6,6,5,4,3
"2678",5,4,5,5,5,1
"2679",7,5,2,6,4,5
"2680",9,3,4,7,0,2
"2681",10,5,4,7,5,6
"2682",2,8,2,2,5,3
"2685",8,6,7,5,6,4
"2686",3,5,4,6,7,3
"2687",5,6,4,6,6,5
"2688",6,6,6,4,6,1
"2689",8,4,4,8,5,3
"2690",3,3,2,3,5,3
"2691",7,5,4,4,6,4
"2692",6,5,4,7,7,2
"2693",8,5,6,6,6,4
"2694",8,5,5,5,5,5
"2695",8,4,4,6,4,5
"2696",10,3,6,8,7,5
"2697",8,5,4,8,7,6
"2698",10,4,4,7,7,4
"2699",4,6,3,5,7,5
"2700",8,5,4,7,2,3
"2702",5,4,7,2,1,1
"2703",8,2,6,7,6,3
"2704",5,3,7,3,1,1
"2705",4,5,7,3,3,3
"2706",9,5,6,7,1,2
"2707",3,8,0,4,5,8
"2708",8,3,4,6,6,5
"2709",6,3,8,5,4,3
"2710",8,4,3,6,1,6
"2711",7,5,3,6,3,3
"2712",7,4,5,3,2,1
"2713",6,3,8,5,1,1
"2714",8,6,5,6,5,4
"2715",6,3,6,3,1,1
"2716",5,3,7,3,3,1
"2717",10,6,4,6,3,5
"2718",7,2,8,2,8,2
"2719",7,3,5,9,1,2
"2720",7,3,5,2,1,1
"2721",5,2,8,4,2,1
"2722",5,1,8,5,1,0
"2723",8,3,2,4,5,4
"2724",8,4,7,2,2,2
"2726",7,4,5,3,2,3
"2727",10,3,4,6,2,3
"2728",8,3,8,5,8,3
"2729",8,5,4,3,2,6
"2730",7,5,7,6,5,4
"2731",9,3,7,7,1,2
"2732",10,4,5,5,2,4
"2733",10,4,3,6,1,1
"2734",10,3,4,7,1,0
"2735",8,6,0,8,4,4
"2736",10,2,8,5,5,0
"2737",6,4,4,6,1,2
"2738",10,1,5,6,0,1
"2739",4,3,7,3,3,2
"2740",4,4,7,3,2,2
"2741",6,6,8,4,1,1
"2742",3,5,8,2,0,1
"2743",7,0,6,3,7,0
"2744",4,3,8,2,2,1
"2745",5,3,7,4,1,1
"2746",6,3,8,3,2,1
