"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"28606",3,3,3,2,1,8,6,6
"28607",7,8,1,3,3,2,3,5
"28608",6,4,1,1,1,1,4,4
"28609",0,0,0,0,0,0,0,0
"28610",0,0,8,0,0,8,0,0
"28611",9,3,0,5,5,0,0,5
"28612",5,4,2,1,3,3,2,5
"28613",0,0,8,4,0,8,0,0
"28614",0,5,0,0,0,5,10,0
"28615",8,5,0,5,5,4,3,5
"28616",3,0,10,0,0,0,0,2
"28617",0,0,10,5,0,9,0,0
"28619",5,5,1,5,5,5,2,5
"28620",7,5,2,3,2,4,2,5
"28621",7,4,0,4,3,3,5,9
"28622",7,6,1,2,2,8,4,3
"28624",2,3,3,5,0,4,1,0
"28625",10,3,0,5,4,3,3,7
"28626",7,5,3,2,2,3,5,3
"28627",10,0,5,0,0,0,5,5
"28628",5,5,2,0,0,0,1,3
"28629",0,0,0,0,0,0,0,8
"28630",7,2,0,1,1,2,7,7
"28631",0,0,0,0,0,0,0,2
"28632",0,0,7,0,0,8,0,0
"28633",3,2,5,2,2,2,8,7
"28634",0,0,0,0,0,5,0,0
"28635",6,5,0,9,10,0,0,5
"28636",5,0,0,0,0,0,0,1
"28638",6,5,0,1,0,0,0,10
"28639",10,2,0,1,6,4,3,8
"28640",0,0,2,0,0,0,0,0
"28641",2,2,0,0,0,2,0,2
"28642",5,7,1,2,2,2,2,3
"28643",7,0,3,5,3,0,7,3
"28644",2,3,1,1,1,3,7,5
"28645",0,7,7,5,0,4,0,0
"28646",10,7,1,5,5,7,7,8
"28649",8,0,0,8,5,3,0,1
"28650",0,0,5,0,0,5,0,0
"28651",7,6,2,1,2,1,3,6
"28652",7,5,1,2,2,3,4,6
"28653",0,5,5,5,3,3,1,2
"28654",10,1,0,8,8,0,5,8
"28657",0,7,0,0,0,4,7,3
"28658",7,6,2,3,3,2,6,7
"28659",4,4,3,0,0,4,4,5
"28660",8,0,0,6,4,0,0,5
"28661",6,4,0,4,3,2,5,8
"28662",2,7,5,0,0,1,4,0
"28663",7,0,0,0,2,0,0,10
"28664",7,2,0,9,9,1,0,7
"28665",3,7,0,0,0,3,6,5
"28666",0,5,5,2,2,8,2,3
"28667",5,5,0,0,0,2,6,5
"28668",10,5,0,5,2,0,5,8
"28669",0,5,0,2,0,0,8,0
"28671",5,7,4,3,3,7,6,4
"28672",10,5,0,2,2,2,0,5
"28673",8,8,3,2,2,4,4,5
