"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"34482",1,6,2,1,10,0,2,1
"34483",3,10,3,3,7,0,0,0
"34484",6,6,6,6,3,3,6,8
"34485",9,8,8,5,5,5,5,5
"34486",6,7,7,5,3,2,4,6
"34487",6,6,9,5,5,3,5,5
"34492",1,5,9,1,5,1,3,2
"34493",9,5,0,3,5,0,1,0
"34494",5,10,2,2,6,0,1,0
"34495",5,8,1,2,8,0,0,0
"34497",1,5,10,1,5,0,5,2
"34499",8,10,8,8,6,5,7,7
"34500",5,9,5,6,3,1,3,3
"34501",8,7,8,6,5,4,5,6
"34502",6,6,9,5,4,4,6,6
"34503",2,10,3,6,9,5,7,4
"34504",5,8,8,2,2,2,2,2
"34505",6,9,6,6,5,4,6,6
"34506",4,6,3,6,5,4,8,5
"34507",10,9,5,3,3,4,4,1
"34508",5,6,6,8,8,5,5,3
"34509",5,6,7,7,4,5,7,6
"34510",4,5,9,8,6,5,4,5
"34511",2,6,3,10,0,0,3,3
"34512",2,5,5,2,10,1,0,0
"34513",4,8,2,5,0,0,5,2
"34514",4,7,4,6,1,0,8,0
"34515",3,8,5,6,1,0,5,1
"34516",7,5,10,9,6,10,10,10
"34517",6,8,5,5,0,0,0,0
"34518",2,8,5,6,0,0,0,0
"34519",5,5,8,7,1,0,4,1
"34520",5,5,5,5,5,5,5,5
"34521",1,7,1,5,6,3,3,4
"34522",8,4,6,5,3,3,1,1
"34523",3,5,3,8,6,4,2,2
"34524",3,5,9,6,5,2,2,2
"34525",2,2,2,2,1,1,1,1
"34526",2,8,5,6,4,5,3,3
"34527",2,5,9,6,5,3,5,4
"34528",4,5,4,5,2,2,3,1
"34529",8,6,1,4,4,0,4,4
"34530",4,7,3,5,4,2,1,5
"34531",5,5,3,6,3,1,3,3
"34532",2,4,6,4,3,0,4,4
"34533",3,8,3,5,6,2,2,4
"34534",8,4,5,4,5,2,1,1
"34535",3,5,3,3,3,1,3,3
"34536",1,5,1,1,2,1,0,1
"34537",3,9,3,2,5,1,1,1
"34538",5,10,1,5,5,3,1,2
"34539",2,5,2,2,2,2,2,2
"34540",4,5,8,5,3,2,2,2
"34541",5,8,6,5,5,5,4,4
"34542",10,8,3,5,6,1,0,0
"34543",7,8,5,6,6,4,4,4
"34544",7,9,8,6,6,5,5,5
"34545",3,6,5,4,4,0,5,5
"34546",6,7,4,4,4,2,2,1
"34547",7,7,6,6,5,5,4,3
"34548",5,6,6,5,4,4,5,4
