"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_I"
"50842",9,5,5,5,4,4,4,5
"50844",3,2,5,4,8,6,3,1
"50845",6,1,3,6,6,6,2,4
"50846",9,5,8,6,6,2,3,4
"50847",10,0,0,0,4,0,0,0
"50848",6,1,8,9,8,7,4,6
"50851",5,5,5,5,5,5,5,5
"50852",5,4,6,5,5,6,4,6
"50853",5,5,5,6,5,5,5,5
"50902",3,7,6,3,1,5,4,3
