"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"15670",8,4,0,5,0,1,4,1,0
"15671",3,10,7,3,2,0,8,0,0
"15672",6,2,0,7,7,8,4,7,0
"15673",8,5,1,10,9,5,7,3,1
"15674",4,4,4,4,4,4,4,4,4
"15675",5,3,0,6,8,8,6,8,0
"15676",6,3,2,4,9,7,3,2,0
"15677",7,6,1,9,6,6,7,5,0
"15678",6,6,3,9,6,5,6,5,1
"15679",2,9,10,0,2,1,7,1,8
"15680",5,2,0,3,4,3,3,1,0
"15681",8,4,0,5,6,7,2,5,1
"15682",8,9,6,3,4,1,7,0,3
"15683",7,5,2,9,6,5,6,8,1
"15684",10,5,4,0,8,5,3,5,3
"15685",7,9,10,6,4,2,4,0,4
"15686",6,7,3,6,3,2,6,1,1
"15687",10,4,5,4,9,8,5,1,2
"15689",7,6,2,7,8,5,4,6,0
"15690",9,8,6,5,3,6,7,3,0
"15691",8,3,2,5,5,2,6,2,0
"15692",7,9,4,8,3,2,10,2,3
"15693",10,1,0,4,5,3,3,1,0
"15694",7,6,1,6,9,5,2,4,0
"15696",5,2,0,3,1,1,1,0,0
"15697",8,3,0,5,7,6,4,5,0
"15699",5,9,0,5,0,0,10,0,0
"15700",5,5,2,8,5,4,3,6,0
"15701",5,9,8,2,2,0,5,0,2
"15702",3,6,0,6,0,0,8,0,6
"15703",9,5,3,6,6,7,5,2,3
"15704",2,4,0,4,2,5,2,4,0
"15705",5,3,0,5,4,8,4,9,0
"15707",5,9,2,5,2,2,5,2,0
"15708",6,4,0,6,9,10,4,6,0
"15709",5,7,1,8,2,2,6,4,0
"15711",0,10,6,4,6,6,0,6,0
"15712",8,3,1,7,9,8,4,7,0
"15714",5,3,0,7,4,2,3,2,0
"15715",7,2,0,7,8,9,4,7,0
"15716",4,9,7,3,3,0,10,0,4
"15717",0,0,0,0,0,0,0,0,0
"15718",3,5,9,0,0,0,6,0,10
"15720",10,8,5,8,5,5,4,5,1
"15721",8,3,1,6,7,4,4,3,0
"15722",7,4,0,7,9,7,4,4,0
"15723",7,2,0,7,7,5,4,5,0
"15724",8,4,2,7,4,4,4,4,1
"15725",3,9,5,4,5,4,6,4,2
"15726",5,1,0,8,8,8,3,5,0
"15727",5,8,3,2,2,2,4,0,0
"15728",7,8,6,5,2,2,3,0,0
"15729",7,1,0,5,10,7,4,1,0
"15730",7,5,0,9,9,10,4,10,0
"15731",6,10,1,6,1,2,8,2,0
"15733",10,0,0,0,0,0,0,0,0
"15734",3,9,1,4,0,0,10,2,2
"15735",6,2,0,6,10,8,3,7,0
"15736",7,7,2,8,5,2,7,1,3
"15737",7,7,3,5,6,1,5,0,0
"15738",0,0,7,0,0,5,0,2,0
"15739",8,7,6,3,6,3,6,3,2
"15740",5,7,6,2,2,1,6,1,1
"15741",7,6,1,9,8,7,7,6,0
"15742",5,0,0,5,8,9,1,9,0
"15744",3,7,0,7,4,4,5,3,1
"15745",3,8,7,7,2,1,10,0,4
"15746",10,2,0,3,7,7,2,5,0
"15747",7,2,1,9,5,2,5,8,0
"15748",7,1,0,7,9,6,2,9,0
"15749",2,7,0,9,0,1,7,1,0
"15750",10,5,3,3,9,3,3,3,3
"15751",10,0,5,5,8,6,3,2,0
"15752",4,10,0,4,0,0,4,1,10
"15753",3,1,0,8,7,10,1,10,0
"15754",6,6,5,2,3,2,9,2,2
"15755",0,8,1,0,0,1,8,0,0
"15757",10,4,5,3,9,6,1,3,7
"15758",5,3,0,8,8,9,3,9,0
"15759",2,2,0,8,8,10,4,10,0
"15760",5,3,0,9,6,8,4,8,0
"15761",5,7,2,5,3,2,7,5,0
"15762",5,10,5,2,1,2,5,0,4
"15763",7,5,0,7,5,7,5,5,5
"15765",5,2,0,7,8,9,3,10,0
"15766",7,10,5,8,6,0,9,0,1
"15767",4,6,1,2,2,1,4,2,1
"15768",5,2,0,7,8,10,3,8,0
"15769",3,2,0,2,5,5,5,0,0
"15770",5,1,0,8,9,8,3,10,0
"15771",8,6,0,2,2,4,1,4,2
"15772",7,4,2,9,9,9,5,9,1
"15773",7,8,5,3,1,0,8,0,5
"15774",0,10,10,0,0,0,2,0,4
"15775",5,5,0,7,8,10,3,10,0
"15776",9,9,2,7,2,1,8,0,9
"15777",6,4,1,9,6,8,4,5,1
"15778",5,9,0,4,3,3,6,0,0
"15781",5,9,3,2,2,1,10,2,5
"15783",6,7,6,4,3,0,8,0,6
"15784",6,1,1,5,9,8,1,5,0
"15785",7,6,4,7,5,4,4,4,0
"15786",1,10,0,1,0,0,9,0,0
"15787",5,5,1,7,4,2,4,1,0
"15788",6,4,2,7,8,8,3,7,0
"15789",10,2,3,4,10,4,3,1,0
"15790",8,1,9,5,0,1,4,0,10
"15791",4,9,8,3,0,0,5,0,5
"15792",3,4,0,7,9,8,3,9,0
"15793",6,10,5,5,2,1,7,0,3
"15794",6,3,0,8,5,3,5,3,0
"15795",3,8,5,1,1,0,8,0,6
"15796",8,9,9,7,6,5,5,2,3
"15797",10,5,0,10,5,5,2,5,0
"15798",7,5,0,10,6,5,7,5,1
"15799",5,7,0,8,6,7,5,3,0
"15800",5,7,1,8,3,3,7,4,2
"15801",9,6,3,10,8,7,5,7,2
"15802",6,4,1,10,8,7,3,9,0
"15803",6,10,6,5,1,0,8,1,0
"15804",7,5,1,10,2,2,7,1,0
"15805",8,5,0,5,5,1,5,2,0
"15806",7,8,1,4,2,3,3,3,2
"15807",3,6,0,0,8,8,3,0,0
"15808",7,6,6,9,6,2,3,5,2
"15809",4,3,0,7,6,7,2,8,0
"15810",6,1,0,6,7,8,3,9,0
"15811",7,4,1,9,7,5,2,3,0
"15812",5,5,3,10,1,1,10,0,0
"15815",0,10,10,1,0,0,0,0,0
"15816",7,6,0,5,6,6,3,7,0
"15817",3,3,1,8,5,6,4,7,0
"15819",5,10,8,1,3,0,8,0,7
"15820",6,7,0,8,2,1,5,5,0
"15821",5,1,1,1,1,1,1,1,1
"15823",6,5,0,6,4,3,7,1,2
"15825",6,3,0,8,9,7,4,7,0
"15826",3,9,0,6,0,0,7,0,1
"15827",6,3,4,5,5,7,5,4,0
"15828",4,10,3,5,1,0,8,0,4
"15829",9,5,0,7,6,7,5,5,0
"15830",7,8,0,7,4,2,9,0,0
"15831",5,6,1,9,3,0,4,0,0
"15834",6,5,3,8,7,6,5,8,1
"15835",4,4,1,9,8,6,1,5,0
"15836",3,8,4,2,1,1,7,0,4
"15837",8,0,0,5,10,9,0,8,0
"15838",7,9,6,4,3,1,8,2,8
"15839",6,4,0,7,6,9,4,9,0
"15841",6,3,2,6,8,7,4,3,1
"15842",7,7,1,8,5,5,7,5,0
"15843",7,9,3,8,5,5,8,2,3
"15845",2,8,7,1,2,2,2,2,7
"15847",10,0,0,7,9,10,3,0,0
"15848",6,8,3,4,2,1,8,2,6
"15849",8,4,0,5,9,10,1,7,0
"15850",8,0,7,0,7,6,7,0,3
"15852",6,4,0,9,8,5,3,5,0
"15853",7,2,0,6,10,9,3,7,0
"15854",7,7,9,2,2,2,8,2,3
"15855",8,2,0,5,9,7,3,5,0
"15858",10,1,0,6,10,8,2,5,0
"15859",8,5,1,9,7,4,5,4,0
"15860",7,7,7,4,4,0,8,0,7
"15861",6,6,2,8,6,5,5,6,0
"15862",10,6,0,8,4,2,5,2,0
"15863",2,10,6,3,2,2,2,2,1
"15864",6,8,8,2,0,1,6,0,4
"15865",8,5,10,0,0,0,5,0,0
"15867",7,3,0,4,10,8,1,5,0
"15868",2,1,0,7,8,9,2,7,0
"15869",8,10,5,0,0,1,6,1,5
"15870",4,4,0,7,6,6,2,0,0
"15873",5,10,7,3,1,0,8,0,8
"15874",10,5,5,4,10,10,5,5,0
"15875",3,10,0,4,2,2,3,2,0
"15876",7,5,0,9,8,6,6,6,2
"15877",3,9,7,0,1,1,3,0,2
"15878",5,4,1,5,8,5,4,5,0
"15879",7,9,7,5,1,2,7,2,1
"15880",8,2,1,7,8,6,5,6,1
"15881",10,10,10,0,10,0,10,0,10
"15882",8,5,8,4,5,4,5,4,4
"15884",7,4,3,7,5,3,4,7,0
"15885",8,2,1,4,8,6,2,5,0
"15887",6,3,0,9,9,8,4,6,0
"15888",4,6,3,7,2,1,8,1,2
"15889",1,1,1,1,1,1,1,1,1
"15890",9,7,0,9,7,5,3,3,0
"15891",9,0,0,9,0,5,5,0,0
"15892",8,5,5,2,6,2,5,1,5
"15893",10,0,0,7,9,9,2,6,0
"15894",3,1,1,2,7,10,2,7,0
"15895",9,9,10,0,9,2,8,0,9
"15896",7,5,7,2,4,0,4,0,3
"15897",6,8,5,5,2,1,8,1,3
"15898",3,9,1,3,0,0,3,0,0
"15901",6,2,0,6,8,8,1,7,0
"15902",0,8,5,6,6,6,8,2,4
"15903",9,4,0,7,7,5,5,4,0
"15904",3,6,1,2,1,0,3,0,0
"15906",6,2,1,9,6,3,5,3,0
"15907",10,7,4,8,5,0,3,9,0
"15908",5,10,10,0,0,0,10,0,0
"15910",5,6,0,7,3,1,3,0,0
"15913",5,8,10,0,3,0,0,0,0
"15914",7,9,4,3,2,1,8,0,1
"15915",6,0,1,7,7,10,1,5,0
"15917",8,4,1,8,8,4,8,6,0
"15918",10,5,5,7,8,8,4,0,0
"15919",5,4,2,6,7,6,4,4,2
"15920",7,5,3,4,9,1,2,0,2
"15921",5,3,0,5,10,10,2,10,0
"15922",8,4,7,1,5,5,7,1,5
"15923",1,3,0,0,0,0,9,0,0
"15924",9,6,1,1,6,6,6,6,0
"15925",5,3,0,5,10,10,3,10,0
"15926",7,5,2,9,6,5,8,4,0
"15927",4,7,3,4,3,0,8,0,0
"15928",5,1,1,5,8,8,3,8,0
"15929",4,10,4,4,4,0,9,0,0
"15931",3,10,6,0,0,0,7,0,2
"15932",7,3,0,10,8,8,6,9,0
"15933",6,9,4,5,2,1,7,7,2
"15934",4,0,0,4,10,10,4,4,1
"15935",6,10,4,8,4,1,7,0,0
"15936",6,6,2,9,2,3,3,6,0
