"","cand_A","cand_B","cand_C","cand_D","cand_F"
"578",0,8,8,0,0
"579",6,2,7,0,0
"580",1,10,2,2,0
"581",5,7,8,6,0
"582",6,5,7,5,4
"583",3,7,10,4,0
"584",7,3,2,5,6
"585",7,2,8,5,6
"586",5,7,3,5,3
"587",0,8,8,1,0
"588",3,2,8,0,2
"589",2,8,9,2,0
"590",6,10,9,5,0
"591",5,9,4,4,4
"592",5,9,8,3,1
"594",3,7,8,0,0
"595",2,8,6,5,0
"596",0,10,5,0,0
"597",6,6,5,6,1
"598",10,3,2,7,0
"599",2,7,10,0,0
"600",0,8,10,2,0
"601",9,2,0,7,5
"602",5,2,0,5,9
"603",2,7,7,3,0
"604",8,2,2,6,0
"605",7,0,5,2,8
"606",9,6,4,8,1
"607",8,5,6,6,4
"608",8,0,0,8,9
"609",8,3,6,8,0
"610",9,5,3,9,7
"611",9,2,3,5,8
"612",1,6,8,4,2
"613",8,8,5,7,5
"614",2,10,9,2,0
"615",0,7,9,0,0
"616",7,5,7,4,2
"617",5,0,0,5,5
"618",0,6,8,3,1
"619",10,1,1,8,1
"620",5,5,3,8,2
"621",6,6,3,2,6
"622",1,7,8,1,0
"623",5,6,5,3,1
"624",3,8,5,0,0
"625",8,6,6,7,0
"626",3,6,8,5,5
"627",6,8,6,6,0
"628",7,4,0,7,2
"629",7,0,0,8,6
"630",1,5,1,1,1
"631",7,8,8,6,4
"632",5,8,0,7,0
"633",10,5,4,8,1
"634",5,7,6,2,0
"635",8,4,3,6,5
"636",9,4,5,9,5
"637",5,5,6,3,0
"638",9,5,0,7,2
"639",5,2,2,5,0
"640",1,8,8,3,1
"641",3,9,7,4,0
"642",0,0,0,0,0
"643",9,3,9,3,6
"644",8,5,3,8,3
"645",4,8,1,4,10
"646",0,3,5,0,0
"647",3,3,3,3,0
"648",10,3,6,5,5
"649",6,4,5,7,5
"650",3,8,5,3,0
"651",6,5,7,5,0
"652",7,7,7,1,2
"654",4,7,7,6,4
"655",9,2,0,8,3
"656",9,0,0,5,5
"657",4,1,0,3,4
"658",3,6,7,2,0
"659",2,6,7,2,0
"660",8,3,3,4,5
"661",2,9,9,1,0
"662",8,5,3,5,1
"663",0,10,10,0,0
"664",10,3,0,8,3
"665",7,0,0,3,9
"666",5,0,0,0,0
"667",9,8,2,9,6
"668",7,2,2,7,8
"669",4,6,7,2,0
"670",0,6,4,4,4
"671",8,3,0,4,3
"672",6,6,6,5,1
"673",5,9,6,1,0
"674",3,10,7,2,0
"675",0,7,5,5,0
"676",10,5,0,10,3
"677",3,8,10,2,0
"678",9,7,7,6,1
"679",4,9,8,4,3
"680",1,9,7,3,3
"681",0,6,0,0,5
"682",7,3,1,6,2
"683",9,4,2,8,8
"684",10,3,0,10,6
"685",0,0,0,0,5
"686",5,4,2,4,1
"687",1,8,3,1,0
"688",7,6,5,7,0
"689",8,4,0,7,0
"690",5,5,1,1,8
"691",9,0,0,10,5
"692",4,4,4,4,0
"693",9,0,0,9,10
"694",0,10,0,0,0
"695",8,5,0,5,8
"696",0,8,7,0,0
"697",2,3,6,0,0
"699",6,2,8,0,0
"700",8,1,5,5,5
"701",0,10,9,0,0
"702",0,8,6,3,0
"703",2,8,7,2,0
"704",8,7,2,6,0
"705",7,3,1,7,0
"706",4,5,6,3,0
"707",2,1,7,1,1
"708",5,3,0,4,5
"709",3,3,2,1,1
"710",0,7,8,0,0
"711",10,0,1,5,0
"712",10,2,10,0,0
"713",8,5,5,7,0
"714",0,9,10,0,0
"715",3,8,10,2,0
"716",10,6,10,7,0
"717",6,5,3,3,5
"718",8,0,0,0,10
"719",6,0,2,3,0
"720",7,6,1,3,0
"721",8,3,0,8,3
"722",4,9,10,2,0
"724",5,5,5,5,0
"725",9,3,2,9,8
"726",1,6,5,0,0
"728",3,6,2,5,10
"729",1,10,8,1,0
"730",5,10,0,5,8
"731",0,6,2,0,0
"732",4,8,9,3,3
"733",3,6,7,3,1
"734",3,7,5,2,0
"736",8,8,0,8,6
"737",10,4,0,7,0
"738",8,2,5,5,0
"739",5,8,2,3,4
"740",8,3,0,9,6
"741",10,0,0,7,0
"742",1,5,1,3,0
"743",4,2,2,5,5
"744",2,10,10,0,0
"745",5,8,0,0,8
"746",7,5,0,7,0
"747",4,6,6,5,0
"748",9,0,0,9,9
"749",9,2,2,8,1
"750",9,7,7,6,0
"751",4,9,5,3,1
"752",9,0,3,9,0
"753",7,3,5,4,0
"754",0,10,9,0,0
"755",7,3,1,4,3
"756",10,1,2,7,0
"757",3,9,10,3,0
"758",5,7,7,6,0
"759",4,7,5,1,0
"760",6,4,5,0,0
"761",7,0,0,10,0
"762",10,5,0,10,10
"763",5,8,4,4,0
"764",10,0,0,2,10
"765",10,0,0,10,5
"766",8,5,3,5,2
"767",0,0,1,0,0
"768",6,4,5,4,0
"769",10,0,0,10,1
"770",5,7,10,0,0
"771",5,10,8,1,0
"772",6,8,10,0,0
"773",9,0,0,9,9
"774",0,8,10,0,0
"775",4,6,7,5,0
"776",8,6,6,6,5
"777",6,9,8,5,0
"778",8,5,4,6,7
"779",2,5,6,0,0
"780",5,10,8,3,0
"781",7,3,0,7,3
"782",5,7,6,3,0
"783",9,7,4,6,6
"784",8,2,0,8,6
"785",6,0,6,0,0
"786",7,5,0,4,10
"787",5,5,5,5,0
"788",7,5,9,7,4
"789",5,10,10,0,0
"790",10,5,0,6,5
"791",2,7,2,0,0
"792",5,3,5,5,0
"793",9,9,8,7,1
"794",8,4,1,6,0
"795",10,0,0,10,5
"797",9,4,0,8,8
"798",9,5,7,8,9
"799",10,4,0,8,0
"800",8,8,8,4,0
"801",8,1,1,5,1
"803",10,5,0,6,0
"804",10,5,0,5,5
"805",10,0,6,2,3
"806",5,8,4,5,1
"807",0,10,6,5,0
"808",5,5,4,5,0
"809",6,7,3,5,3
"810",0,5,10,0,0
"811",4,9,7,4,0
"812",10,3,2,8,1
"813",10,2,0,5,5
"814",8,3,2,6,6
"815",5,10,10,3,0
"816",4,8,8,2,1
"817",6,8,8,0,0
"818",10,3,0,3,5
"819",6,4,6,0,0
"820",6,10,6,3,0
"821",8,2,0,2,4
"822",4,10,5,2,0
"823",8,0,7,5,1
"824",8,0,0,5,10
"825",2,8,8,2,2
"826",1,6,4,2,4
"827",10,0,5,0,5
"828",10,5,3,5,2
"829",7,10,5,5,0
"830",3,5,2,3,5
"831",6,5,0,3,0
"832",2,7,7,1,0
"833",5,7,8,4,0
"834",10,0,0,10,0
"835",7,5,5,3,0
"836",4,2,3,3,2
"837",5,9,5,2,1
"838",5,4,0,4,0
"839",8,5,5,7,3
"840",5,5,5,5,5
"841",6,1,1,3,10
"842",2,7,7,1,1
"843",2,10,10,0,0
"844",0,10,10,0,0
"845",10,2,0,10,5
"846",5,5,5,5,0
"847",0,6,7,0,0
"848",8,2,3,9,2
"849",8,1,3,7,0
"850",6,8,9,4,0
"851",5,0,0,5,5
"852",2,9,9,2,0
"853",8,0,6,6,6
"854",8,5,1,8,1
"855",2,9,7,1,1
"856",10,6,8,8,3
"857",5,10,2,5,0
"858",6,5,7,6,6
"859",3,9,8,2,0
"860",5,5,5,5,5
"861",4,6,7,4,1
"862",5,10,5,4,0
"863",7,5,3,5,3
"864",6,6,3,6,0
"865",7,4,4,7,6
"866",9,0,0,9,0
"867",6,7,8,2,0
"868",9,5,1,9,8
"869",10,9,1,5,3
"870",5,2,1,5,3
"871",5,5,6,0,0
"872",6,4,6,4,0
"873",8,5,7,5,7
"874",0,7,4,0,0
"875",8,0,0,6,10
"876",0,3,0,0,0
"877",7,4,5,5,0
"878",0,8,10,2,0
"880",5,5,3,4,5
"881",10,0,0,7,8
"882",0,7,4,0,0
"883",10,5,3,5,2
"884",4,8,7,4,2
"885",9,5,1,8,4
"886",1,7,9,0,0
"887",4,3,0,4,5
"888",8,0,2,5,0
"889",4,7,6,2,0
"890",0,0,5,0,5
"891",4,6,4,2,0
"892",6,7,6,6,0
"893",9,7,6,5,5
"894",2,10,9,1,0
"895",2,2,2,2,2
"896",8,5,0,3,3
"897",5,3,4,4,4
"898",7,4,5,4,3
"899",5,6,4,5,5
"900",0,6,9,0,0
"901",7,3,5,4,4
"902",3,3,3,3,3
"903",10,4,8,6,0
"904",3,6,5,4,0
"905",1,5,7,1,0
"906",5,8,4,5,4
"907",6,7,7,0,0
"908",0,5,3,2,1
"909",5,5,4,3,0
"910",3,3,3,3,3
"911",2,10,3,2,0
"912",5,6,5,5,5
"913",0,7,10,0,0
"914",2,10,8,0,0
"915",10,0,0,5,0
"916",0,0,8,4,4
"917",7,5,0,7,5
"918",0,0,10,0,0
"919",3,6,8,1,0
"920",10,5,4,7,2
"922",4,10,7,0,0
"923",9,6,0,7,5
"924",8,8,5,8,2
"925",7,4,0,7,5
"926",0,0,10,0,0
"927",0,9,10,0,0
"928",6,10,9,8,7
"929",7,3,2,5,0
"930",10,0,0,10,5
"931",10,2,1,5,5
"932",10,0,0,10,8
"933",9,3,0,8,0
"934",9,0,0,5,8
"936",7,8,6,7,0
"937",9,0,0,9,9
"938",6,5,6,3,0
"939",9,1,0,10,9
"940",10,1,0,8,5
"941",3,3,7,0,0
"942",5,7,4,0,0
"943",5,5,5,5,5
"944",8,8,9,1,0
"945",6,5,2,5,5
"946",9,5,6,8,1
"947",3,5,8,3,0
"948",10,1,1,10,6
"949",3,5,6,4,0
"950",2,10,4,4,6
"951",5,9,9,5,5
"952",4,8,7,3,0
"953",3,7,2,2,5
"954",3,6,9,3,0
"955",3,6,8,3,0
"956",10,0,3,0,8
"957",4,8,7,3,1
"959",10,0,0,0,0
"960",3,3,0,0,0
"961",4,7,8,0,0
"962",5,10,0,5,0
"963",8,4,0,7,0
"964",10,0,0,10,8
"965",5,5,5,5,5
"966",9,9,10,5,0
"967",9,2,0,8,6
"968",5,0,0,8,5
"969",7,9,4,7,4
"970",5,5,2,5,1
"971",10,2,1,3,5
"972",7,7,4,3,0
"973",1,6,10,6,0
"974",5,6,6,5,5
"975",8,6,6,5,4
"976",8,2,0,7,0
"977",5,5,5,0,0
"979",10,0,4,10,5
"980",5,8,9,6,1
"981",5,0,2,1,1
"982",0,7,10,0,0
"983",5,8,5,5,0
"984",5,7,7,5,0
"985",7,3,5,0,0
"986",2,5,1,3,1
"987",8,3,6,5,5
"988",6,5,5,5,2
"989",9,0,0,7,2
"990",0,8,9,4,0
"991",9,7,0,8,4
"992",5,9,7,3,0
"993",5,5,4,4,2
"994",10,0,0,10,5
"995",1,8,10,0,0
"996",10,0,3,9,3
"997",8,5,7,7,3
"999",10,0,0,10,8
"1000",0,0,10,0,0
"1001",4,8,7,4,2
"1003",4,5,8,4,5
"1004",10,5,0,5,5
"1005",9,8,7,5,8
"1006",5,6,7,5,0
"1007",2,6,9,1,0
"1008",3,3,8,3,3
"1009",3,8,6,0,0
"1010",2,10,8,2,0
"1011",8,4,7,5,3
"1012",8,9,4,5,0
"1013",5,8,10,5,0
"1014",7,8,5,5,2
"1015",6,7,6,4,2
"1016",1,5,10,1,0
"1017",6,4,3,5,3
"1018",7,0,5,7,1
"1020",10,0,0,7,0
"1021",8,8,3,4,3
"1022",5,10,3,5,0
"1023",0,1,1,2,1
"1024",10,6,4,5,0
"1025",0,8,10,0,0
"1026",0,0,0,0,0
"1027",4,8,8,4,3
"1028",5,5,8,2,0
"1029",2,10,6,2,0
"1030",4,5,4,3,0
"1031",5,5,4,5,3
"1032",10,0,5,5,7
"1033",0,0,0,1,1
"1034",7,0,0,6,6
"1035",5,10,5,3,7
"1036",10,3,0,2,0
"1037",7,0,0,4,10
"1038",5,5,5,5,5
"1039",4,3,4,3,1
"1040",4,5,8,3,3
"1041",4,8,6,4,0
"1042",8,4,6,4,3
"1043",5,8,8,2,0
"1044",6,4,0,6,8
"1045",9,0,0,6,7
"1046",10,3,0,9,0
"1047",7,0,4,5,4
"1048",1,10,10,0,0
"1049",7,8,9,8,3
"1050",7,7,1,8,10
"1051",5,7,5,5,5
"1052",10,0,0,10,10
"1053",8,9,0,8,7
"1054",8,4,8,5,0
"1055",8,6,5,8,5
"1056",7,6,3,8,0
"1057",4,7,8,3,1
"1058",10,3,7,5,8
"1059",9,6,2,7,1
"1060",10,4,1,6,1
"1061",9,0,5,9,5
"1062",0,5,3,0,0
"1063",5,0,0,10,8
"1064",1,7,7,0,0
"1065",10,0,0,3,9
"1066",8,2,0,8,3
"1067",0,10,10,1,0
"1068",2,2,7,2,0
"1069",2,8,10,3,3
"1070",6,5,5,5,5
"1071",0,0,8,4,4
"1072",5,0,0,5,2
"1073",0,5,10,0,0
"1074",5,7,7,6,2
"1075",7,5,5,9,0
"1076",10,0,0,10,10
"1077",6,6,3,5,0
"1078",3,3,0,3,0
"1079",10,0,0,6,7
"1080",7,4,1,7,3
"1081",10,5,0,10,5
"1082",7,6,2,5,4
"1083",5,7,7,5,0
"1084",5,6,3,5,3
"1085",10,0,0,8,0
"1086",8,6,4,8,0
"1088",4,5,6,5,0
