"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"52117",0,0,0,0,0,0
"52119",7,6,0,2,8,0
"52121",4,3,1,4,0,3
"52123",0,0,3,3,0,3
"52125",0,6,0,0,0,0
"52127",8,8,1,1,1,1
"52128",0,0,10,0,0,0
"52131",0,3,4,2,6,2
"52134",0,0,0,0,0,0
"52135",0,0,0,0,0,0
"52136",3,2,1,1,2,3
"52138",5,10,3,4,5,7
"52139",10,7,3,6,5,2
"52140",0,0,0,0,0,0
"52141",0,0,0,0,0,0
"52148",0,0,10,0,0,0
"52151",0,0,0,10,10,10
"52152",0,1,4,1,2,4
"52153",10,10,10,10,10,10
"52155",0,0,0,0,0,0
"52156",0,0,0,0,0,0
"52157",10,1,4,2,3,5
"52158",0,1,6,2,5,8
"52159",0,8,0,2,1,3
"52161",0,0,1,0,0,1
"52163",2,1,0,2,5,4
"52164",0,0,0,5,0,0
"52165",0,0,0,0,0,0
"52169",0,0,0,0,0,5
"52171",5,5,0,1,7,1
"52173",2,0,0,2,3,1
"52175",5,2,0,1,0,0
"52176",0,4,5,0,0,5
"52177",3,10,2,3,2,1
"52178",4,8,9,3,10,10
"52179",5,0,0,2,5,1
"52180",0,0,0,0,0,0
"52182",5,0,0,5,5,3
"52184",5,0,0,8,6,6
"52185",0,0,1,0,0,0
"52186",10,5,0,1,3,1
"52188",1,1,1,1,1,1
"52192",6,4,1,2,0,1
"52194",9,0,0,0,0,0
"52196",5,4,0,4,10,0
"52197",0,0,3,0,5,5
"52202",0,0,2,1,0,3
"52203",5,6,5,5,3,6
"52206",10,7,0,1,7,0
"52207",9,8,2,5,3,4
"52208",0,0,0,0,0,0
"52209",0,7,9,6,8,5
"52210",0,2,0,0,5,3
"52212",10,5,1,1,1,1
"52213",0,0,0,0,0,0
"52214",1,1,1,1,1,1
"52215",10,10,10,10,10,10
"52217",0,0,0,0,0,0
"52219",5,5,0,0,4,0
"52220",10,10,10,10,10,10
"52221",0,0,4,0,0,0
"52222",0,0,0,0,0,0
"52226",10,1,0,2,5,3
"52227",9,8,3,7,5,2
"52228",5,4,1,2,2,2
"52229",4,5,1,2,1,2
"52231",2,5,4,4,5,4
"52232",10,8,3,7,9,3
"52235",4,1,0,7,8,5
"52236",10,0,0,0,10,0
"52237",0,0,0,0,0,0
"52238",10,0,10,10,10,10
"52239",5,0,0,0,2,0
"52240",10,0,1,0,5,10
"52241",0,0,0,0,0,0
"52245",0,0,0,0,0,0
"52249",0,7,0,7,9,3
"52251",2,3,4,3,8,4
"52252",0,0,10,5,0,5
"52259",3,1,2,4,0,4
"52260",0,0,0,0,0,1
"52264",0,0,0,2,5,5
"52266",0,0,0,0,0,0
"52268",0,0,0,0,0,0
"52272",0,0,1,0,0,1
"52273",0,5,0,0,0,0
