"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"36939",6,0,6,5,6,3,5,7,6
"36940",8,2,5,8,6,6,6,5,2
"36941",9,3,6,8,3,3,3,5,5
"36942",7,7,8,7,5,5,8,5,4
"36943",8,0,7,8,8,6,8,6,8
"36944",6,2,3,4,3,5,4,5,0
"36945",7,0,7,8,6,6,5,6,0
"36946",7,2,7,6,6,6,4,7,4
"36947",3,0,5,6,6,4,5,1,0
"36948",9,8,5,1,2,6,2,7,3
"36949",0,0,4,6,7,10,8,6,8
"36952",3,2,8,7,6,6,6,7,5
"36953",7,3,7,5,3,2,4,4,5
"36954",3,6,5,5,5,5,4,5,5
"36956",5,5,5,5,5,5,5,5,5
"36957",7,4,6,7,4,5,6,5,6
"36958",8,2,6,7,7,6,5,7,4
"36959",7,0,6,7,6,6,6,4,7
"36960",6,3,7,6,6,4,6,7,5
"36961",2,3,3,8,8,4,3,6,8
"36962",5,5,7,5,6,4,6,8,5
"36963",5,1,7,7,7,7,4,8,10
"36964",6,7,6,6,6,6,6,6,8
"36966",6,4,6,7,6,6,6,6,6
"36967",2,5,5,2,6,8,8,6,9
"36968",8,2,8,6,6,5,6,6,3
"36969",10,0,6,6,1,3,6,1,3
"36970",8,3,8,7,7,7,6,7,6
"36971",6,3,4,7,7,5,7,8,5
"36972",4,4,7,1,7,2,5,1,2
"36973",6,2,4,5,6,5,7,2,6
"36974",1,5,5,1,1,7,1,1,2
"36975",4,0,3,6,6,8,5,5,6
"36976",6,3,1,6,7,8,4,1,5
"36978",6,0,6,5,7,7,10,7,6
"36979",0,4,7,5,4,4,1,6,5
"36980",7,2,6,6,6,9,7,5,7
"36983",7,4,6,6,7,6,6,5,7
"36984",3,4,5,5,5,8,5,5,5
"36985",7,0,3,8,8,4,3,6,4
"36986",6,4,5,6,4,3,6,4,1
"36987",6,0,6,8,7,6,6,6,7
"36988",3,0,4,6,6,4,7,7,5
"36989",5,0,5,5,4,4,5,3,2
"36990",5,0,4,7,8,7,8,3,6
"36991",2,0,5,9,6,5,4,5,7
"36992",8,3,5,7,2,5,4,3,5
"36993",6,6,6,6,6,6,6,6,6
"36994",6,0,9,7,6,6,8,7,7
"36995",10,8,8,7,8,7,8,8,9
"36996",9,2,9,5,2,5,6,5,1
"36998",7,1,5,8,8,5,6,7,7
"36999",7,0,5,0,2,1,3,8,3
"37000",9,0,3,2,4,3,9,5,2
"37001",6,5,7,7,8,7,7,9,7
"37002",4,8,6,4,2,8,3,6,5
"37003",7,0,6,7,7,7,7,7,7
"37004",8,1,8,4,2,4,2,5,9
"37005",7,2,5,8,6,5,7,4,6
"37006",8,0,7,5,3,4,5,5,3
"37007",2,7,5,4,4,8,3,5,5
"37008",3,2,6,7,5,7,5,7,7
"37009",7,1,5,7,5,1,6,6,1
"37010",4,0,3,7,8,5,7,5,5
"37011",8,2,7,6,6,5,4,7,2
"37012",7,8,7,6,6,6,5,6,5
"37013",7,2,8,5,3,4,4,6,2
"37018",8,3,5,6,4,5,5,4,5
"37019",8,5,8,6,6,7,6,6,5
"37022",7,1,7,8,8,7,8,6,4
"37023",6,4,7,4,6,6,5,7,5
"37024",5,5,5,5,5,5,5,5,5
"37025",5,5,5,5,5,5,5,5,5
"37026",5,0,7,5,7,7,7,6,6
"37027",8,0,5,6,7,3,7,4,2
"37028",8,5,8,8,7,7,6,6,6
"37029",3,0,5,5,6,6,8,4,5
"37030",6,4,5,6,7,3,6,5,6
"37032",7,0,5,6,6,5,7,6,6
"37033",3,0,5,6,6,7,8,5,2
"37034",7,1,6,8,6,5,5,7,7
"37035",6,5,6,5,5,5,5,5,7
"37036",7,1,2,9,7,5,7,2,7
"37037",8,5,6,7,6,7,6,5,4
"37038",8,0,6,6,6,4,5,6,6
"37039",5,1,4,9,7,2,6,4,4
"37040",4,0,4,7,4,4,5,4,5
"37041",6,4,9,7,6,6,6,6,3
"37042",8,1,7,6,2,3,5,5,6
"37044",8,0,6,8,7,5,6,6,8
"37045",5,2,6,5,4,5,5,5,5
"37046",5,0,3,5,6,6,8,1,2
"37047",5,6,6,3,4,4,5,4,3
"37049",5,4,6,6,5,5,5,8,4
"37050",6,2,3,6,6,6,7,6,6
"37051",8,5,4,7,4,7,4,7,6
"37052",3,1,8,2,2,3,7,8,0
"37054",8,4,6,7,5,6,5,5,9
"37055",6,5,5,6,5,6,3,5,6
"37056",8,2,7,8,10,8,8,7,9
"37057",7,0,8,8,8,5,5,6,6
"37059",7,0,7,10,9,7,8,9,7
"37061",5,2,7,6,6,6,5,7,2
"37062",6,1,5,8,6,5,7,4,6
"37063",7,5,6,7,8,7,6,8,6
"37064",3,0,6,7,7,5,6,8,7
"37065",4,1,4,7,5,2,3,3,5
"37066",7,2,6,6,7,7,7,6,5
"37068",5,0,5,7,6,6,6,4,5
"37069",6,3,7,8,8,8,10,6,7
"37070",7,2,7,6,5,5,6,6,3
"37071",6,0,3,7,6,7,5,4,4
"37072",5,0,5,6,8,8,3,0,8
"37073",10,7,5,3,2,3,0,2,0
"37074",8,0,6,8,7,7,8,7,6
"37075",3,0,2,10,7,4,9,5,7
"37076",7,2,6,7,7,6,7,8,4
"37077",6,9,0,5,6,8,7,0,7
"37078",7,7,2,8,7,3,4,2,7
"37079",0,0,0,5,5,5,5,0,5
"37080",8,2,9,9,8,6,8,8,7
"37081",2,6,6,0,2,9,1,9,1
"37082",5,1,7,7,8,8,5,8,5
"37083",5,0,5,6,5,5,5,5,5
"37084",8,0,8,8,8,9,9,8,10
"37085",9,0,8,9,9,0,7,1,6
"37086",6,0,5,8,5,6,3,6,5
"37087",9,9,3,2,0,1,0,3,3
"37088",0,8,2,0,0,10,0,2,8
"37089",8,4,5,6,7,5,6,3,7
"37090",7,2,6,5,4,5,7,4,1
"37091",2,9,1,1,1,9,5,5,1
"37092",3,0,8,7,8,9,6,8,8
"37093",4,8,3,4,3,5,3,1,1
