,A,B,F,G,H,I
v1057,0.0,0.0,0.0,0.1,0.0,0.0
v1058,0.1,0.6,0.2,0.3,0.0,0.0
v1059,0.2,0.4,0.0,0.6,0.0,0.0
v1060,0.4,0.4,0.4,0.4,0.4,0.4
v1061,0.0,1.0,0.0,0.0,0.8,0.0
v1062,0.2,0.8,0.1,0.8,,
v1063,0.2,0.3,0.0,0.1,0.5,0.3
v1064,0.9,0.1,0.1,0.1,0.1,0.1
v1065,0.1,0.9,0.0,0.8,0.1,0.0
v1066,0.8,0.0,0.0,0.0,0.0,0.0
v1067,0.5,0.1,0.1,0.1,0.1,0.1
v1068,0.0,0.8,0.0,0.0,0.0,0.0
v1069,0.0,0.0,0.0,0.0,0.0,0.0
v1070,1.0,0.0,1.0,0.0,0.0,0.0
v1071,0.4,0.3,0.5,0.0,0.0,0.0
v1072,0.7,0.0,0.3,0.0,0.0,0.1
v1073,1.0,0.5,0.3,0.2,0.1,0.1
v1074,0.1,0.9,0.1,0.1,0.1,0.1
v1075,0.9,0.0,0.5,0.0,0.0,0.0
v1076,0.0,0.0,0.0,0.0,0.0,0.0
v1077,0.0,0.8,0.0,0.0,0.0,0.0
v1078,0.7,0.6,0.1,0.0,0.0,0.0
v1079,0.0,1.0,0.0,0.5,0.0,0.0
v1080,0.0,1.0,0.0,0.9,0.0,0.1
v1081,0.2,0.5,0.2,0.4,0.0,0.0
v1082,1.0,0.0,0.5,0.0,0.0,0.2
v1083,1.0,0.2,0.8,0.6,0.1,0.9
v1084,0.1,0.5,0.0,0.1,0.4,0.3
v1085,0.0,1.0,0.0,0.0,0.4,0.0
v1086,0.0,1.0,0.0,0.4,0.0,0.0
v1087,0.2,0.0,0.2,0.0,0.0,0.7
v1088,0.1,0.3,0.1,0.1,0.4,0.1
v1089,1.0,0.0,0.9,0.0,0.0,0.0
v1090,1.0,0.0,1.0,0.0,0.0,1.0
v1091,0.5,0.5,0.5,0.0,0.0,0.0
v1092,0.8,0.0,0.5,0.2,0.0,0.7
v1093,0.4,0.7,0.3,0.2,0.0,0.0
v1094,0.4,0.0,1.0,0.0,0.0,0.0
v1095,1.0,0.1,1.0,0.1,0.1,0.1
v1096,0.0,0.8,0.2,0.2,0.2,0.2
v1097,0.5,0.3,0.0,0.6,0.0,0.2
v1098,0.0,1.0,0.0,1.0,0.0,0.0
v1099,0.7,0.5,0.6,0.4,0.3,0.8
v1100,0.8,0.0,0.0,0.0,0.0,0.0
v1101,0.7,0.1,0.6,0.0,0.0,0.4
v1102,0.5,0.6,0.0,0.0,0.0,0.0
v1103,0.0,0.5,0.0,0.0,0.0,0.0
v1104,0.8,0.1,0.1,0.2,0.1,0.1
v1105,0.0,0.9,0.0,0.4,0.0,0.0
v1106,0.0,0.3,0.0,0.2,0.1,0.0
v1107,1.0,0.0,1.0,0.0,0.0,0.8
v1108,0.5,0.3,0.1,0.2,0.5,0.2
v1109,1.0,0.1,0.2,0.1,0.1,0.2
v1110,0.0,0.0,0.6,0.0,0.0,0.0
v1111,0.5,0.5,0.5,0.6,0.0,0.2
v1112,0.1,0.7,0.4,0.6,0.2,0.1
v1113,0.5,1.0,0.9,0.0,0.0,0.0
v1114,0.1,0.4,0.1,0.3,0.5,0.2
v1115,1.0,0.0,0.5,0.0,0.0,1.0
v1116,0.5,0.1,0.1,0.1,0.1,0.1
v1117,0.9,0.1,0.1,0.0,0.0,0.0
v1118,0.4,1.0,0.2,0.8,0.0,0.0
v1119,0.5,0.0,0.5,0.0,0.0,0.0
v1120,0.1,1.0,0.1,0.5,0.0,0.0
v1121,0.1,0.2,0.1,0.1,0.3,0.1
v1122,1.0,0.1,0.1,0.2,0.1,0.1
v1123,0.9,0.1,0.5,0.1,0.1,0.1
v1124,0.5,0.8,0.0,0.0,0.0,0.0
v1125,0.9,0.3,0.7,0.3,0.2,0.5
v1126,0.8,0.4,0.2,0.1,0.1,0.2
v1127,0.8,0.1,0.5,0.1,0.0,0.5
v1128,1.0,0.2,0.6,0.2,0.0,0.6
v1129,0.0,0.7,0.5,0.6,0.0,0.0
v1130,0.4,0.6,0.3,0.4,0.2,0.3
v1131,0.0,0.8,0.0,0.0,0.0,0.0
v1132,0.0,0.0,0.0,0.0,0.0,0.0
v1133,1.0,0.0,0.8,0.0,0.0,0.5
v1134,0.0,0.9,0.0,0.0,0.0,0.0
v1135,1.0,0.1,0.2,0.1,0.2,0.1
v1136,0.9,0.1,0.1,0.1,0.1,0.1
v1137,0.5,1.0,0.0,0.0,0.0,0.0
v1138,0.0,0.7,0.0,0.4,0.0,0.0
v1139,0.2,0.7,0.0,0.3,,
v1140,1.0,0.0,0.8,0.5,0.0,0.8
v1141,0.1,0.8,0.1,0.8,0.1,0.1
v1142,0.1,1.0,0.1,0.5,0.8,0.1
v1143,0.0,0.6,0.1,0.0,0.0,0.0
v1144,0.7,0.6,0.6,0.5,0.2,0.6
v1145,0.8,0.1,0.6,0.1,0.1,0.1
v1146,0.1,0.7,0.1,0.3,0.5,0.1
v1147,0.5,0.2,0.2,0.1,0.1,0.2
v1148,1.0,0.2,0.8,0.3,0.1,0.4
v1149,0.6,0.3,0.4,0.3,1.0,0.3
v1150,1.0,0.0,1.0,0.0,0.0,0.8
v1151,1.0,0.0,1.0,0.0,0.0,1.0
v1152,0.0,0.5,0.0,0.0,0.5,0.0
v1153,0.1,0.9,0.1,0.1,0.1,0.1
v1154,0.0,1.0,0.0,0.4,0.3,0.0
v1155,0.1,0.8,0.1,0.2,0.1,0.1
v1156,0.9,0.1,0.8,0.1,0.0,0.1
v1157,0.7,0.2,0.5,0.0,0.0,0.0
v1158,0.0,0.0,0.6,0.0,0.0,0.0
v1159,0.0,0.0,0.0,0.0,0.0,0.0
v1160,0.1,0.3,0.0,0.0,0.3,0.0
v1161,0.5,0.2,1.0,0.3,0.0,0.2
v1162,0.5,0.4,0.5,0.4,0.3,0.2
v1163,0.0,0.8,0.0,0.8,0.0,0.0
v1164,0.2,0.4,0.0,0.0,0.5,0.1
v1165,0.8,0.1,0.6,0.1,0.1,0.7
v1166,0.3,0.5,0.0,0.1,0.6,0.1
v1167,0.1,0.1,0.1,0.1,0.1,0.1
v1168,0.1,1.0,0.1,0.4,0.1,0.1
v1169,0.0,0.0,0.0,0.0,0.0,0.0
v1170,1.0,0.1,0.8,0.1,0.0,0.0
