"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"12338",0,1,1,0,1,0
"12339",4,0,8,5,0,7
"12340",6,3,5,7,3,4
"12341",0,0,0,5,0,0
"12344",6,4,4,4,4,4
"12345",6,0,9,6,6,6
"12346",0,0,1,0,1,0
"12347",1,0,3,2,0,1
"12350",0,9,2,2,1,2
"12354",0,0,0,6,0,8
"12356",5,0,7,6,2,1
"12361",0,0,0,0,0,0
"12362",10,7,7,8,8,7
"12363",4,0,6,3,0,0
"12365",5,0,5,5,5,7
"12366",2,4,6,2,4,3
"12368",4,0,5,3,0,0
"12369",6,0,5,4,1,3
"12371",0,1,0,1,2,0
"12372",0,0,0,10,0,0
"12373",7,6,2,6,4,6
"12375",0,0,5,5,0,0
"12377",10,0,0,5,0,0
"12378",5,5,5,5,6,5
"12379",0,0,0,0,0,0
"12380",9,7,8,9,6,8
"12382",5,1,8,4,3,5
"12383",5,0,0,5,0,2
"12384",4,3,5,4,3,4
"12385",3,5,4,4,4,5
"12386",5,10,0,3,10,0
"12387",0,9,0,0,0,0
"12388",3,5,5,10,5,10
"12389",5,0,7,5,2,0
"12390",6,4,8,6,3,3
"12391",6,0,8,8,3,0
"12392",0,0,7,0,0,0
"12395",10,0,0,7,10,4
"12397",1,0,2,0,0,0
"12398",0,0,0,0,0,0
"12401",0,0,0,0,0,0
"12402",1,2,2,2,2,1
"12403",0,0,0,0,0,0
"12405",8,0,0,0,0,0
"12406",10,0,10,10,0,10
"12407",3,4,1,3,3,3
"12408",0,0,7,5,0,0
"12410",5,0,10,5,3,3
"12411",5,2,5,5,2,2
"12413",1,10,2,3,2,2
"12414",0,0,5,4,3,6
"12415",1,1,5,1,1,1
"12416",1,1,2,4,4,4
"12417",6,6,4,5,5,4
"12418",3,4,6,8,5,4
"12419",5,0,10,0,0,0
"12420",5,4,2,4,4,4
"12422",4,0,6,5,0,0
"12424",0,0,0,6,4,2
"12426",0,0,7,4,0,0
"12427",8,9,0,6,0,6
"12428",3,2,0,0,4,0
"12429",0,0,0,0,0,0
"12432",0,0,2,0,0,0
"12433",8,8,0,0,0,0
"12434",8,2,5,8,3,7
"12435",5,4,0,5,0,0
"12436",0,10,0,0,0,0
"12438",5,0,7,8,2,4
"12439",0,10,0,10,0,0
"12440",4,5,7,5,5,6
"12441",3,0,0,3,0,1
"12442",5,0,3,5,0,0
"12443",0,4,4,5,2,5
"12446",6,0,0,6,0,0
"12447",8,7,6,4,4,4
"12448",4,0,4,5,0,0
"12449",3,0,7,5,1,1
"12451",5,6,7,4,2,1
"12452",9,10,0,0,0,0
"12454",3,4,5,4,3,3
"12455",6,0,0,6,0,4
"12457",0,0,0,0,0,0
"12459",8,6,1,0,0,0
"12461",5,5,6,7,3,4
"12462",7,0,5,0,0,0
"12463",0,0,10,10,0,10
"12464",0,4,10,7,7,6
"12468",5,5,0,5,3,3
"12469",0,0,0,0,0,0
"12470",5,8,8,3,0,0
"12472",7,5,6,8,4,3
"12473",2,2,3,0,0,0
"12474",5,0,5,3,0,1
"12475",2,2,3,1,2,2
"12476",0,5,3,5,0,2
"12477",6,4,7,5,5,5
"12480",3,0,5,3,3,1
"12481",6,6,4,5,4,3
"12482",5,5,5,5,5,5
"12483",10,0,5,8,2,0
"12485",0,0,5,5,3,0
"12486",8,8,5,0,5,4
"12487",0,0,0,0,0,0
"12489",0,0,0,0,0,0
"12490",0,5,5,5,5,5
"12491",1,5,9,7,5,5
