"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"46428",8,0,0,0,3,0,0,5,0
"46429",0,0,0,0,0,0,0,0,0
"46430",8,5,0,6,5,4,4,7,1
"46431",7,2,0,5,1,9,2,8,0
"46432",10,2,0,4,4,4,4,2,4
"46433",8,8,0,10,10,4,8,9,4
"46434",9,1,0,4,8,2,4,10,2
"46435",5,5,0,7,5,4,5,9,5
"46436",2,10,0,9,2,7,10,4,2
"46437",5,7,0,8,4,8,9,4,0
"46438",7,7,2,7,5,8,7,5,0
"46439",4,10,0,9,0,10,8,0,0
"46440",7,4,0,7,9,3,3,9,8
"46441",9,4,0,5,2,2,4,7,0
"46442",6,1,0,5,10,1,1,6,5
"46443",8,2,2,2,6,2,2,5,2
"46444",9,3,0,6,8,1,4,9,9
"46445",4,9,0,10,0,6,8,2,0
"46446",7,0,0,2,10,0,2,7,9
"46447",2,8,5,4,1,7,5,1,0
"46448",8,4,0,7,2,4,6,2,1
"46449",9,5,0,5,7,2,5,7,5
"46450",4,6,1,8,3,5,5,3,3
"46452",7,6,0,7,9,0,8,3,2
"46453",2,8,8,3,2,8,2,7,0
"46454",10,3,0,6,10,5,4,8,5
"46455",9,2,0,7,5,1,6,7,1
"46456",8,2,0,5,9,0,5,9,4
"46457",8,4,0,4,3,3,3,3,5
"46458",2,9,0,7,0,9,5,1,5
"46459",8,3,0,7,6,7,3,6,4
"46460",5,7,0,9,1,9,8,0,0
"46461",0,7,9,6,2,8,3,1,0
"46462",6,0,0,0,10,0,0,8,6
"46463",8,5,3,5,5,5,5,7,3
"46464",4,8,0,8,3,7,9,4,5
"46466",5,1,0,3,10,1,3,4,7
"46467",6,8,0,10,3,4,10,1,2
"46468",8,1,0,5,6,0,4,3,0
"46469",8,4,0,8,4,3,6,6,2
"46470",9,3,0,4,7,1,2,5,6
"46472",3,7,0,5,5,2,3,3,0
"46473",2,7,0,7,0,10,2,2,2
"46474",6,1,0,4,10,1,4,8,10
"46475",10,0,0,5,10,0,3,10,10
"46476",8,5,0,7,3,4,7,6,2
"46477",7,5,0,5,0,4,6,0,0
"46478",9,2,0,8,3,1,3,1,0
"46479",0,2,7,1,0,2,1,0,1
"46481",3,9,0,8,0,7,9,0,0
"46482",5,1,0,5,9,0,2,5,5
"46483",10,4,0,4,10,6,4,10,10
"46484",9,4,0,5,8,4,4,7,4
"46485",7,3,0,8,5,3,5,7,3
"46486",5,5,0,5,3,5,8,5,0
"46487",0,4,6,6,0,3,4,0,0
"46488",4,8,0,7,2,5,6,4,3
"46489",2,10,0,7,0,5,7,4,0
"46490",9,3,0,4,9,7,6,9,5
"46491",4,3,0,9,3,2,2,8,1
"46492",6,5,0,7,8,4,7,7,6
"46493",3,6,0,7,2,9,7,2,2
"46494",3,8,7,8,3,9,8,3,3
"46495",10,3,0,5,8,3,5,10,10
"46496",5,9,7,8,3,8,5,4,4
"46497",4,8,0,7,3,3,9,9,3
"46498",1,10,9,7,0,8,7,0,0
"46499",4,7,0,10,3,0,3,0,0
"46500",2,10,0,10,1,9,9,0,0
"46502",3,1,0,2,9,1,2,9,8
"46504",5,1,0,2,8,1,3,7,7
"46505",2,9,0,5,1,7,8,1,0
"46506",1,10,10,4,0,8,4,0,0
"46507",4,9,8,5,1,7,6,0,0
"46508",4,6,0,8,1,8,9,1,1
"46509",8,0,1,3,8,1,5,10,8
"46510",1,7,10,3,0,7,3,0,0
"46511",9,0,0,2,9,0,1,9,9
"46512",6,3,0,2,9,0,3,10,7
"46513",5,3,0,5,3,4,7,4,1
"46514",9,1,0,5,9,0,5,6,10
"46515",4,9,0,10,0,9,10,2,0
"46516",0,9,9,7,0,8,8,0,0
"46517",9,4,0,8,6,5,7,8,8
"46518",1,8,1,7,0,7,9,1,0
"46519",4,9,0,7,2,5,5,2,0
"46520",1,7,2,7,0,8,8,0,5
"46521",2,8,0,8,1,8,9,3,5
"46522",5,6,0,8,2,6,6,6,1
"46523",5,5,3,7,7,4,8,4,1
"46524",4,10,5,7,0,10,8,0,0
"46525",6,8,0,9,3,5,10,3,3
"46526",8,3,0,6,7,1,4,9,5
"46527",5,9,1,8,1,5,7,5,1
"46528",8,3,0,6,10,3,5,9,8
"46529",6,5,0,8,5,5,5,9,9
"46530",1,8,0,8,0,7,8,1,0
"46531",8,3,0,4,4,4,5,7,2
"46532",9,2,0,6,7,2,4,6,5
"46533",1,9,10,1,0,8,7,1,1
"46534",5,9,1,8,2,9,8,2,0
"46535",5,10,0,10,1,6,7,3,0
"46536",7,1,0,3,1,7,4,8,0
"46537",6,3,0,6,5,3,4,5,3
"46538",7,2,0,1,8,1,1,9,10
"46541",7,2,0,10,7,2,2,10,2
"46542",10,1,0,4,7,1,3,7,1
"46543",8,7,0,7,4,2,7,8,3
"46544",6,5,9,3,1,8,5,1,0
"46545",5,5,0,5,0,0,6,2,0
"46546",8,4,0,5,4,1,8,7,3
"46547",7,6,5,5,3,5,5,3,1
