"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"16851",7,0,2,3,7,9,3,1,0
"16852",7,9,1,1,0,5,6,8,0
"16853",6,9,4,3,1,2,4,8,0
"16854",8,0,2,4,10,10,4,0,0
"16855",3,3,3,3,5,5,2,1,2
"16856",8,4,5,6,8,7,5,5,4
"16858",7,1,2,4,8,9,5,1,1
"16859",7,5,0,1,8,10,2,0,0
"16860",2,8,2,2,2,3,8,10,0
"16861",10,1,7,4,2,2,1,3,1
"16862",7,2,3,9,3,2,2,4,1
"16863",0,10,5,2,0,0,0,5,5
"16864",8,0,2,1,7,10,3,0,0
"16865",5,0,1,1,8,9,3,1,0
"16867",7,0,2,3,10,10,5,4,1
"16868",5,6,8,4,4,3,3,3,3
"16869",7,2,0,0,4,10,4,4,0
"16870",3,9,1,6,5,8,5,5,0
"16871",3,3,0,5,3,1,1,5,1
"16872",4,7,6,7,2,3,4,9,6
"16873",5,1,6,7,8,1,5,6,0
"16874",9,6,6,7,8,7,4,6,3
"16875",8,0,6,4,8,0,1,3,0
"16876",8,2,3,0,1,1,10,1,1
"16877",6,3,5,7,8,8,10,3,1
"16878",5,2,7,5,3,2,9,5,1
"16880",6,0,3,2,9,9,9,2,0
"16881",5,10,4,0,5,1,5,5,0
"16882",4,5,0,3,6,3,3,6,3
"16883",7,5,0,3,5,9,3,1,0
"16884",7,5,3,4,3,5,2,5,1
"16885",7,2,5,5,8,10,5,1,5
"16886",5,4,6,4,3,7,1,4,4
"16888",10,0,4,3,8,8,7,2,2
"16889",6,5,4,5,2,4,5,5,1
"16890",4,3,8,5,8,6,3,5,2
"16891",8,0,3,6,7,7,7,3,3
"16893",4,7,7,5,4,4,6,5,4
"16894",9,0,6,5,6,6,2,4,3
"16895",7,1,5,3,8,3,0,0,1
"16896",10,4,5,3,5,3,2,3,1
"16897",2,8,2,3,4,2,2,0,0
"16898",1,3,2,1,1,1,2,0,0
"16899",7,1,2,4,7,8,4,1,1
"16900",2,0,8,3,7,0,5,5,0
"16901",5,2,3,5,6,5,5,2,1
"16902",4,10,8,6,7,2,1,0,5
"16904",5,2,3,6,6,6,5,3,2
"16905",8,0,2,4,7,5,5,4,0
"16907",6,2,6,5,4,4,4,3,1
"16908",5,7,5,5,0,5,2,2,0
"16909",3,1,5,9,5,3,3,6,4
"16910",5,2,5,7,5,3,5,5,2
"16911",7,2,6,5,8,8,2,5,2
"16913",7,4,4,5,7,9,3,5,2
"16914",8,9,5,6,5,6,5,5,1
"16915",0,0,5,4,2,2,3,7,9
"16916",8,2,7,5,9,10,5,4,0
"16917",6,0,0,0,8,10,0,0,0
"16918",5,2,1,2,5,3,1,5,2
"16919",5,1,5,5,5,5,3,4,1
"16920",1,5,2,8,6,3,3,5,5
"16921",0,1,3,8,0,1,4,5,2
"16922",0,0,7,10,0,2,4,5,4
"16923",10,2,4,5,5,4,3,4,1
"16924",6,1,5,5,10,7,9,6,0
"16925",5,6,8,4,6,5,3,7,4
"16926",10,2,5,2,5,7,3,7,1
