"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13473",5,7,6,9,3,2,5
"13474",7,0,8,2,0,0,8
"13475",10,7,0,8,3,7,9
"13476",9,9,5,8,7,8,8
"13477",8,8,2,5,5,9,7
"13478",9,9,5,6,9,8,7
"13479",9,3,0,8,2,7,8
"13480",5,0,10,0,9,0,8
"13481",10,8,0,7,7,3,10
"13482",9,8,0,10,5,8,9
"13483",10,4,0,10,5,8,5
"13484",10,0,0,8,0,5,10
"13485",9,3,0,9,5,10,5
"13486",5,10,0,6,5,7,0
"13487",8,7,0,9,7,8,0
"13488",6,6,1,5,4,7,6
"13489",8,6,8,5,7,6,7
"13490",0,5,0,0,8,5,0
"13491",10,4,0,3,3,5,6
"13492",7,7,0,10,6,8,5
"13493",0,6,0,2,9,6,0
"13494",6,8,0,2,8,10,3
"13495",5,4,2,4,2,3,5
"13496",8,5,0,8,2,7,5
"13497",7,5,0,0,10,9,4
"13498",5,4,3,5,6,5,6
"13499",8,7,0,7,0,7,9
"13500",8,7,0,8,2,6,8
"13501",8,7,2,9,7,7,3
"13502",9,8,0,8,1,10,7
"13503",9,8,0,7,6,9,4
"13505",5,5,0,5,0,5,4
"13506",10,3,0,8,3,3,10
"13507",9,6,2,6,2,4,7
"13508",8,6,0,7,5,6,7
"13509",10,8,0,8,0,5,10
"13510",6,6,0,6,4,7,7
"13511",6,7,0,6,7,7,2
"13512",7,7,0,9,2,6,6
"13513",9,7,0,5,0,5,8
"13514",9,9,0,5,0,5,5
"13515",7,10,0,8,6,8,6
"13516",8,7,0,7,0,6,2
"13517",1,2,8,1,1,1,7
"13518",8,5,0,9,3,5,1
"13519",9,8,3,9,4,7,8
"13520",10,8,9,8,7,8,7
"13521",7,7,0,6,5,7,4
"13522",1,0,10,10,10,0,9
"13523",3,2,0,8,5,10,3
"13524",7,8,0,4,6,5,6
"13525",0,2,8,7,1,0,6
"13526",9,9,5,9,7,9,7
"13528",5,9,0,8,0,0,9
"13529",9,8,5,6,10,8,9
"13530",9,9,0,7,8,10,6
"13531",9,6,0,7,0,0,9
"13532",10,0,0,8,7,7,8
"13533",10,9,0,4,5,9,5
"13534",8,1,0,0,2,8,8
"13535",6,6,5,5,5,5,6
"13536",3,5,7,6,5,2,5
"13537",10,10,0,5,4,5,8
"13538",1,10,0,2,1,4,0
"13539",4,0,5,5,8,2,10
"13540",3,10,0,2,2,8,2
"13541",0,10,0,0,8,5,0
"13542",8,7,6,6,7,6,8
"13543",6,8,0,5,1,5,5
"13544",9,10,0,5,3,2,7
"13545",10,4,8,8,0,0,10
"13546",7,9,0,5,7,7,5
"13547",6,9,0,5,6,10,2
"13548",4,9,0,4,9,9,1
"13549",9,4,5,8,1,0,9
"13550",3,8,0,3,5,7,2
"13551",2,2,0,7,2,3,6
"13553",8,4,1,6,2,7,5
"13554",8,8,0,10,1,8,7
"13555",5,4,0,6,0,5,5
"13556",7,8,0,5,6,7,5
"13557",1,7,0,1,8,8,1
"13558",6,6,0,8,0,5,7
"13559",9,6,0,5,2,10,2
"13560",7,8,0,3,2,9,3
"13561",8,10,0,8,7,9,5
"13562",10,6,0,8,0,8,3
"13563",9,5,0,9,3,6,7
"13564",6,7,0,6,6,5,2
"13565",8,9,0,8,6,10,6
"13566",6,0,0,0,7,9,6
"13567",5,3,4,7,5,4,5
"13568",10,7,0,8,7,7,9
"13569",6,6,0,6,4,5,6
"13570",1,9,0,7,4,8,1
"13571",8,8,0,8,8,9,5
"13572",1,1,0,0,9,0,0
"13573",6,8,0,8,5,9,3
"13574",2,6,10,8,4,5,9
"13575",10,8,0,5,5,6,9
"13576",6,6,0,2,8,8,2
"13577",9,8,0,9,2,7,4
"13578",7,8,0,4,7,7,1
