"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"45343",8,0,6,0,0,2,7
"45344",7,0,4,0,3,5,3
"45345",2,10,2,1,2,2,2
"45347",5,0,2,1,6,2,8
"45348",9,0,6,0,9,7,10
"45349",4,1,1,0,3,5,5
"45350",0,10,0,0,0,0,0
"45351",3,2,2,0,3,8,3
"45352",1,3,1,0,2,2,1
"45353",8,0,5,0,8,6,10
"45354",5,0,3,0,10,8,9
"45355",0,0,2,4,2,1,2
"45356",5,0,5,10,0,0,0
"45357",0,0,0,0,10,8,5
"45358",9,1,1,0,3,1,4
"45359",9,8,2,0,0,4,3
"45360",5,3,5,0,0,5,5
"45361",0,0,0,0,0,0,0
"45362",5,2,5,0,1,2,5
"45363",8,0,4,0,10,7,9
"45364",0,1,5,0,5,3,0
"45365",0,7,0,0,0,0,0
"45366",6,0,8,5,3,6,2
"45367",9,4,8,0,4,4,4
"45369",6,0,6,0,6,10,7
"45370",5,5,7,0,6,10,5
"45371",5,5,5,0,5,5,1
"45373",5,10,5,1,5,5,5
"45374",5,5,5,5,5,5,5
"45375",10,2,7,0,4,8,8
"45376",4,5,5,2,0,3,0
"45377",5,6,5,4,7,10,3
"45378",5,8,5,2,5,5,5
"45380",2,9,5,3,3,3,3
"45381",7,3,3,0,8,9,7
"45382",9,5,9,0,5,10,9
"45384",6,2,4,1,5,8,6
"45385",0,5,5,3,1,0,0
"45386",6,0,1,0,9,3,10
"45387",7,0,6,3,7,8,9
"45388",6,5,3,0,5,3,4
"45389",6,1,5,0,5,5,5
"45390",10,3,5,1,6,7,4
"45391",0,9,6,6,2,0,2
"45392",6,5,9,3,8,3,9
"45393",0,7,1,5,1,1,3
"45394",0,8,4,7,0,2,0
"45395",10,1,4,1,2,2,4
"45396",0,5,0,0,0,0,0
"45397",5,0,8,0,10,2,5
"45399",9,2,5,3,7,8,5
"45400",3,0,6,0,0,2,0
"45401",1,1,5,4,0,0,0
"45402",1,10,2,0,0,3,0
"45403",0,5,9,5,0,0,0
"45404",1,8,4,7,0,1,0
"45405",0,3,3,0,0,3,3
"45406",6,0,3,0,5,5,6
"45407",5,0,0,0,6,10,7
"45408",5,2,3,0,10,6,6
"45410",7,0,1,0,10,7,7
"45411",0,10,3,0,0,4,0
"45412",5,0,2,0,9,8,5
"45413",0,3,0,9,0,0,0
"45414",9,4,6,1,3,5,3
"45415",8,5,7,9,3,7,0
"45416",5,1,7,3,3,1,5
"45417",3,4,7,2,0,3,0
"45418",2,7,4,7,2,3,2
"45419",5,0,5,1,3,2,6
"45420",0,0,0,0,0,0,0
"45421",8,3,5,1,2,2,2
"45423",0,7,1,0,6,3,0
"45424",6,4,6,1,2,1,2
"45425",9,1,5,1,7,8,7
"45426",0,9,5,9,0,0,0
"45427",0,8,3,7,0,0,0
"45428",10,0,3,0,5,3,1
"45429",0,7,0,0,0,0,0
"45430",3,3,3,2,2,1,1
"45431",0,0,0,0,0,0,0
"45432",0,8,4,8,0,0,0
"45433",0,3,5,5,0,0,0
"45434",1,0,2,8,3,3,2
"45435",0,9,6,5,2,1,2
"45436",2,10,6,1,0,3,4
"45437",3,7,4,1,1,4,3
"45438",5,2,1,1,9,3,5
"45439",2,2,6,7,4,2,6
"45440",1,0,4,0,0,2,5
"45441",0,8,4,7,0,0,0
"45443",0,2,3,1,7,3,3
"45444",6,5,4,2,5,5,5
"45445",0,10,0,0,0,0,0
"45446",0,8,3,5,0,0,0
"45448",4,2,5,7,0,6,2
"45449",0,4,0,2,0,3,3
"45450",0,4,3,2,1,2,10
"45451",3,1,3,0,0,3,2
"45452",4,4,6,0,5,5,3
"45453",4,3,9,4,4,7,5
"45454",2,5,5,3,0,5,0
"45455",3,3,3,7,3,3,3
"45456",8,1,7,1,7,7,7
"45457",10,0,10,0,2,0,3
"45458",8,0,6,0,2,6,2
"45459",8,0,10,0,0,8,0
"45460",5,7,2,2,2,2,2
"45461",7,1,4,2,4,4,2
"45462",8,0,5,0,0,5,0
"45463",0,4,0,0,0,2,0
"45464",0,5,1,2,0,0,0
"45465",5,0,3,0,4,10,4
"45466",2,6,3,0,3,4,2
"45467",1,6,3,0,1,2,1
"45469",5,1,5,0,5,5,0
